Week,Away Team,Home Team,Winning Team,3rd Att_home,3rd Md_home,4th Att_home,4th Md_home,Rec 1st_home,Rec 1st%_home,Rush 1st_home,Rush 1st%_home,Scrm Plys_home,3rd Att_away,3rd Md_away,4th Att_away,4th Md_away,Rec 1st_away,Rec 1st%_away,Rush 1st_away,Rush 1st%_away,Scrm Plys_away,Home_Win
1,Lions,Chiefs,Lions,220,96,20,10,216,51.3,107,25.7,1080,224,93,40,21,228,55.9,124,24.8,1137,0
16,Lions,Vikings,Lions,223,85,29,17,220,51.9,79,20.1,1071,224,93,40,21,228,55.9,124,24.8,1137,0
13,Lions,Saints,Lions,235,91,19,9,199,49.0,112,23.3,1121,224,93,40,21,228,55.9,124,24.8,1137,0
7,Lions,Ravens,Ravens,207,87,14,8,180,54.9,144,26.6,1076,224,93,40,21,228,55.9,124,24.8,1137,1
14,Lions,Bears,Bears,238,98,26,13,169,52.6,137,25.7,1097,224,93,40,21,228,55.9,124,24.8,1137,1
10,Lions,Chargers,Lions,237,91,32,15,204,49.9,89,20.6,1106,224,93,40,21,228,55.9,124,24.8,1137,0
6,Lions,Buccaneers,Lions,236,98,18,12,188,51.6,79,18.0,1047,224,93,40,21,228,55.9,124,24.8,1137,0
17,Lions,Cowboys,Cowboys,230,111,23,13,229,53.5,113,24.2,1122,224,93,40,21,228,55.9,124,24.8,1137,1
4,Lions,Packers,Lions,223,105,24,12,211,56.4,101,22.9,1052,224,93,40,21,228,55.9,124,24.8,1137,0
3,Bears,Chiefs,Chiefs,220,96,20,10,216,51.3,107,25.7,1080,238,98,26,13,169,52.6,137,25.7,1097,1
15,Bears,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,238,98,26,13,169,52.6,137,25.7,1097,1
12,Bears,Vikings,Bears,223,85,29,17,220,51.9,79,20.1,1071,238,98,26,13,169,52.6,137,25.7,1097,0
9,Bears,Saints,Saints,235,91,19,9,199,49.0,112,23.3,1121,238,98,26,13,169,52.6,137,25.7,1097,1
5,Bears,Commanders,Bears,216,77,29,16,190,46.7,99,27.6,1060,238,98,26,13,169,52.6,137,25.7,1097,0
8,Bears,Chargers,Chargers,237,91,32,15,204,49.9,89,20.6,1106,238,98,26,13,169,52.6,137,25.7,1097,1
11,Bears,Lions,Lions,224,93,40,21,228,55.9,124,24.8,1137,238,98,26,13,169,52.6,137,25.7,1097,0
2,Bears,Buccaneers,Buccaneers,236,98,18,12,188,51.6,79,18.0,1047,238,98,26,13,169,52.6,137,25.7,1097,1
18,Bears,Packers,Packers,223,105,24,12,211,56.4,101,22.9,1052,238,98,26,13,169,52.6,137,25.7,1097,1
