Week,Away Team,Home Team,Winning Team,FGM_home,Att_home,FG %_home,1-19 > A-M_home,20-29 > A-M_home,30-39 > A-M_home,40-49 > A-M_home,50-59 > A-M_home,60+ > A-M_home,Lng_home,FG Blk_home,FGM_away,Att_away,FG %_away,1-19 > A-M_away,20-29 > A-M_away,30-39 > A-M_away,40-49 > A-M_away,50-59 > A-M_away,60+ > A-M_away,Lng_away,FG Blk_away,Home_Win
1,Lions,Chiefs,Lions,33,35,94.3,0,8,15,7,4,1,60,0,19,21,90.5,0,3,13,3,2,0,52,0,0
16,Lions,Vikings,Lions,24,30,80.0,1,7,9,6,7,0,54,1,19,21,90.5,0,3,13,3,2,0,52,0,0
13,Lions,Saints,Lions,30,37,81.1,0,12,6,10,9,0,55,0,19,21,90.5,0,3,13,3,2,0,52,0,0
7,Lions,Ravens,Ravens,32,37,86.5,0,10,10,12,4,1,50,1,19,21,90.5,0,3,13,3,2,0,52,0,1
14,Lions,Bears,Bears,35,38,92.1,0,9,11,10,8,0,55,0,19,21,90.5,0,3,13,3,2,0,52,0,1
10,Lions,Chargers,Lions,31,33,93.9,0,7,8,9,9,0,55,1,19,21,90.5,0,3,13,3,2,0,52,0,0
6,Lions,Buccaneers,Lions,29,31,93.6,0,8,12,3,8,0,57,2,19,21,90.5,0,3,13,3,2,0,52,0,0
17,Lions,Cowboys,Cowboys,36,38,94.7,0,9,15,4,9,1,60,1,19,21,90.5,0,3,13,3,2,0,52,0,1
4,Lions,Packers,Lions,27,33,81.8,0,6,14,8,4,1,53,0,19,21,90.5,0,3,13,3,2,0,52,0,0
3,Bears,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,35,38,92.1,0,9,11,10,8,0,55,0,1
15,Bears,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,35,38,92.1,0,9,11,10,8,0,55,0,1
12,Bears,Vikings,Bears,24,30,80.0,1,7,9,6,7,0,54,1,35,38,92.1,0,9,11,10,8,0,55,0,0
9,Bears,Saints,Saints,30,37,81.1,0,12,6,10,9,0,55,0,35,38,92.1,0,9,11,10,8,0,55,0,1
5,Bears,Commanders,Bears,19,24,79.2,0,3,7,9,4,1,61,1,35,38,92.1,0,9,11,10,8,0,55,0,0
8,Bears,Chargers,Chargers,31,33,93.9,0,7,8,9,9,0,55,1,35,38,92.1,0,9,11,10,8,0,55,0,1
11,Bears,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,35,38,92.1,0,9,11,10,8,0,55,0,0
2,Bears,Buccaneers,Buccaneers,29,31,93.6,0,8,12,3,8,0,57,2,35,38,92.1,0,9,11,10,8,0,55,0,1
18,Bears,Packers,Packers,27,33,81.8,0,6,14,8,4,1,53,0,35,38,92.1,0,9,11,10,8,0,55,0,1
6,Broncos,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,30,34,88.2,0,11,13,5,5,0,52,1,1
4,Broncos,Bears,Broncos,35,38,92.1,0,9,11,10,8,0,55,0,30,34,88.2,0,11,13,5,5,0,52,1,0
14,Broncos,Chargers,Broncos,31,33,93.9,0,7,8,9,9,0,55,1,30,34,88.2,0,11,13,5,5,0,52,1,0
10,Broncos,Bills,Broncos,24,29,82.8,0,4,13,6,6,0,54,1,30,34,88.2,0,11,13,5,5,0,52,1,0
15,Broncos,Lions,Lions,19,21,90.5,0,3,13,3,2,0,52,0,30,34,88.2,0,11,13,5,5,0,52,1,1
13,Broncos,Texans,Texans,34,38,89.5,0,13,13,4,8,0,54,0,30,34,88.2,0,11,13,5,5,0,52,1,1
3,Broncos,Dolphins,Dolphins,24,28,85.7,0,6,7,8,7,0,57,2,30,34,88.2,0,11,13,5,5,0,52,1,1
18,Broncos,Raiders,Raiders,26,30,86.7,0,10,7,10,3,0,54,1,30,34,88.2,0,11,13,5,5,0,52,1,1
7,Chargers,Chiefs,Chiefs,33,35,94.3,0,8,15,7,4,1,60,0,31,33,93.9,0,7,8,9,9,0,55,1,1
3,Chargers,Vikings,Chargers,24,30,80.0,1,7,9,6,7,0,54,1,31,33,93.9,0,7,8,9,9,0,55,1,0
17,Chargers,Broncos,Broncos,30,34,88.2,0,11,13,5,5,0,52,1,31,33,93.9,0,7,8,9,9,0,55,1,1
9,Chargers,Jets,Chargers,36,39,92.3,0,8,11,14,6,0,55,1,31,33,93.9,0,7,8,9,9,0,55,1,0
