Week,Away Team,Home Team,Winning Team,FF_home,FR_home,FR TD_home,Rec FUM_home,Rush FUM_home,FF_away,FR_away,FR TD_away,Rec FUM_away,Rush FUM_away,Home_Win
1,Lions,Chiefs,Lions,15,9,2,6,7,13,6,0,3,4,0
16,Lions,Vikings,Lions,22,11,2,9,7,13,6,0,3,4,0
13,Lions,Saints,Lions,8,11,1,4,4,13,6,0,3,4,0
7,Lions,Ravens,Ravens,16,13,0,3,4,13,6,0,3,4,1
14,Lions,Bears,Bears,13,6,0,4,6,13,6,0,3,4,1
10,Lions,Chargers,Lions,15,12,0,3,8,13,6,0,3,4,0
6,Lions,Buccaneers,Lions,18,12,0,6,8,13,6,0,3,4,0
17,Lions,Cowboys,Cowboys,14,8,1,5,8,13,6,0,3,4,1
4,Lions,Packers,Lions,10,11,1,1,5,13,6,0,3,4,0
3,Bears,Chiefs,Chiefs,15,9,2,6,7,13,6,0,4,6,1
15,Bears,Browns,Browns,14,10,1,2,5,13,6,0,4,6,1
12,Bears,Vikings,Bears,22,11,2,9,7,13,6,0,4,6,0
9,Bears,Saints,Saints,8,11,1,4,4,13,6,0,4,6,1
5,Bears,Commanders,Bears,10,10,0,3,8,13,6,0,4,6,0
8,Bears,Chargers,Chargers,15,12,0,3,8,13,6,0,4,6,1
11,Bears,Lions,Lions,13,6,0,3,4,13,6,0,4,6,0
2,Bears,Buccaneers,Buccaneers,18,12,0,6,8,13,6,0,4,6,1
18,Bears,Packers,Packers,10,11,1,1,5,13,6,0,4,6,1
6,Broncos,Chiefs,Chiefs,15,9,2,6,7,19,15,1,2,12,1
4,Broncos,Bears,Broncos,13,6,0,4,6,19,15,1,2,12,0
14,Broncos,Chargers,Broncos,15,12,0,3,8,19,15,1,2,12,0
10,Broncos,Bills,Broncos,14,11,0,7,4,19,15,1,2,12,0
15,Broncos,Lions,Lions,13,6,0,3,4,19,15,1,2,12,1
13,Broncos,Texans,Texans,15,10,1,6,5,19,15,1,2,12,1
3,Broncos,Dolphins,Dolphins,15,12,0,6,5,19,15,1,2,12,1
18,Broncos,Raiders,Raiders,14,9,2,4,6,19,15,1,2,12,1
7,Chargers,Chiefs,Chiefs,15,9,2,6,7,15,12,0,3,8,1
3,Chargers,Vikings,Chargers,22,11,2,9,7,15,12,0,3,8,0
17,Chargers,Broncos,Broncos,19,15,1,2,12,15,12,0,3,8,1
9,Chargers,Jets,Chargers,14,10,1,5,13,15,12,0,3,8,0
2,Chargers,Titans,Titans,13,8,0,2,3,15,12,0,3,8,1
13,Chargers,Patriots,Chargers,15,8,1,3,11,15,12,0,3,8,0
11,Chargers,Packers,Packers,10,11,1,1,5,15,12,0,3,8,1
15,Chargers,Raiders,Raiders,14,9,2,4,6,15,12,0,3,8,1
9,Dolphins,Chiefs,Chiefs,15,9,2,6,7,15,12,0,6,5,1
13,Dolphins,Commanders,Dolphins,10,10,0,3,8,15,12,0,6,5,0
17,Dolphins,Ravens,Ravens,16,13,0,3,4,15,12,0,6,5,1
7,Dolphins,Eagles,Eagles,16,8,1,6,5,15,12,0,6,5,1
1,Dolphins,Chargers,Dolphins,15,12,0,3,8,15,12,0,6,5,0
12,Dolphins,Jets,Dolphins,14,10,1,5,13,15,12,0,6,5,0
4,Dolphins,Bills,Bills,14,11,0,7,4,15,12,0,6,5,1
2,Dolphins,Patriots,Dolphins,15,8,1,3,11,15,12,0,6,5,0
11,Eagles,Chiefs,Eagles,15,9,2,6,7,16,8,1,6,5,0
8,Eagles,Commanders,Eagles,10,10,0,3,8,16,8,1,6,5,0
15,Eagles,Seahawks,Seahawks,13,8,0,5,3,16,8,1,6,5,1
18,Eagles,Giants,Giants,19,13,0,8,6,16,8,1,6,5,1
6,Eagles,Jets,Jets,14,10,1,5,13,16,8,1,6,5,1
3,Eagles,Buccaneers,Eagles,18,12,0,6,8,16,8,1,6,5,0
5,Eagles,Rams,Eagles,7,5,0,2,7,16,8,1,6,5,0
14,Eagles,Cowboys,Cowboys,14,8,1,5,8,16,8,1,6,5,1
14,Bills,Chiefs,Bills,15,9,2,6,7,14,11,0,7,4,0
3,Bills,Commanders,Bills,10,10,0,3,8,14,11,0,7,4,0
12,Bills,Eagles,Eagles,16,8,1,6,5,14,11,0,7,4,1
16,Bills,Chargers,Bills,15,12,0,3,8,14,11,0,7,4,0
1,Bills,Jets,Jets,14,10,1,5,13,14,11,0,7,4,1
9,Bills,Bengals,Bengals,11,9,0,4,6,14,11,0,7,4,1
7,Bills,Patriots,Patriots,15,8,1,3,11,14,11,0,7,4,1
18,Bills,Dolphins,Bills,15,12,0,6,5,14,11,0,7,4,0
16,Raiders,Chiefs,Raiders,15,9,2,6,7,14,9,2,4,6,0
17,Raiders,Colts,Colts,17,9,1,4,7,14,9,2,4,6,1
7,Raiders,Bears,Bears,13,6,0,4,6,14,9,2,4,6,1
1,Raiders,Broncos,Raiders,19,15,1,2,12,14,9,2,4,6,0
4,Raiders,Chargers,Chargers,15,12,0,3,8,14,9,2,4,6,1
2,Raiders,Bills,Bills,14,11,0,7,4,14,9,2,4,6,1
8,Raiders,Lions,Lions,13,6,0,3,4,14,9,2,4,6,1
11,Raiders,Dolphins,Dolphins,15,12,0,6,5,14,9,2,4,6,1
17,Bengals,Chiefs,Chiefs,15,9,2,6,7,11,9,0,4,6,1
1,Bengals,Browns,Browns,14,10,1,2,5,11,9,0,4,6,1
16,Bengals,Steelers,Steelers,19,11,1,6,8,11,9,0,4,6,1
11,Bengals,Ravens,Ravens,16,13,0,3,4,11,9,0,4,6,1
4,Bengals,Titans,Titans,13,8,0,2,3,11,9,0,4,6,1
13,Bengals,Jaguars,Bengals,12,11,0,5,4,11,9,0,4,6,0
5,Bengals,Cardinals,Bengals,6,6,1,2,4,11,9,0,4,6,0
8,Bengals,49ers,Bengals,10,6,0,6,4,11,9,0,4,6,0
1,Panthers,Falcons,Falcons,19,8,0,3,9,5,3,0,3,4,1
14,Panthers,Saints,Saints,8,11,1,4,4,5,3,0,3,4,1
