Week,Away Team,Home Team,Winning Team,INT_home,INT TD_home,INT Yds_home,Lng_home,INT_away,INT TD_away,INT Yds_away,Lng_away,Home_Win
1,Lions,Chiefs,Lions,8,0,69,24,16,1,209,50,0
16,Lions,Vikings,Lions,11,0,112,43,16,1,209,50,0
13,Lions,Saints,Lions,18,1,185,74,16,1,209,50,0
7,Lions,Ravens,Ravens,18,1,258,52,16,1,209,50,1
14,Lions,Bears,Bears,22,2,245,45,16,1,209,50,1
10,Lions,Chargers,Lions,9,0,31,9,16,1,209,50,0
6,Lions,Buccaneers,Lions,13,1,93,28,16,1,209,50,0
17,Lions,Cowboys,Cowboys,17,5,249,63,16,1,209,50,1
4,Lions,Packers,Lions,7,1,68,37,16,1,209,50,0
3,Bears,Chiefs,Chiefs,8,0,69,24,22,2,245,45,1
15,Bears,Browns,Browns,18,2,135,34,22,2,245,45,1
12,Bears,Vikings,Bears,11,0,112,43,22,2,245,45,0
9,Bears,Saints,Saints,18,1,185,74,22,2,245,45,1
5,Bears,Commanders,Bears,8,0,85,52,22,2,245,45,0
8,Bears,Chargers,Chargers,9,0,31,9,22,2,245,45,1
11,Bears,Lions,Lions,16,1,209,50,22,2,245,45,0
2,Bears,Buccaneers,Buccaneers,13,1,93,28,22,2,245,45,1
18,Bears,Packers,Packers,7,1,68,37,22,2,245,45,1
6,Broncos,Chiefs,Chiefs,8,0,69,24,11,0,85,33,1
4,Broncos,Bears,Broncos,22,2,245,45,11,0,85,33,0
14,Broncos,Chargers,Broncos,9,0,31,9,11,0,85,33,0
10,Broncos,Bills,Broncos,18,2,148,40,11,0,85,33,0
15,Broncos,Lions,Lions,16,1,209,50,11,0,85,33,1
13,Broncos,Texans,Texans,14,0,63,33,11,0,85,33,1
3,Broncos,Dolphins,Dolphins,15,4,270,99,11,0,85,33,1
18,Broncos,Raiders,Raiders,13,3,268,75,11,0,85,33,1
7,Chargers,Chiefs,Chiefs,8,0,69,24,9,0,31,9,1
3,Chargers,Vikings,Chargers,11,0,112,43,9,0,31,9,0
17,Chargers,Broncos,Broncos,11,0,85,33,9,0,31,9,1
9,Chargers,Jets,Chargers,17,2,212,51,9,0,31,9,0
2,Chargers,Titans,Titans,6,1,86,44,9,0,31,9,1
13,Chargers,Patriots,Chargers,10,0,96,32,9,0,31,9,0
11,Chargers,Packers,Packers,7,1,68,37,9,0,31,9,1
15,Chargers,Raiders,Raiders,13,3,268,75,9,0,31,9,1
9,Dolphins,Chiefs,Chiefs,8,0,69,24,15,4,270,99,1
13,Dolphins,Commanders,Dolphins,8,0,85,52,15,4,270,99,0
17,Dolphins,Ravens,Ravens,18,1,258,52,15,4,270,99,1
7,Dolphins,Eagles,Eagles,9,2,207,99,15,4,270,99,1
1,Dolphins,Chargers,Dolphins,9,0,31,9,15,4,270,99,0
12,Dolphins,Jets,Dolphins,17,2,212,51,15,4,270,99,0
4,Dolphins,Bills,Bills,18,2,148,40,15,4,270,99,1
2,Dolphins,Patriots,Dolphins,10,0,96,32,15,4,270,99,0
11,Eagles,Chiefs,Eagles,8,0,69,24,9,2,207,99,0
8,Eagles,Commanders,Eagles,8,0,85,52,9,2,207,99,0
15,Eagles,Seahawks,Seahawks,11,3,177,97,9,2,207,99,1
18,Eagles,Giants,Giants,18,3,404,102,9,2,207,99,1
6,Eagles,Jets,Jets,17,2,212,51,9,2,207,99,1
3,Eagles,Buccaneers,Eagles,13,1,93,28,9,2,207,99,0
5,Eagles,Rams,Eagles,10,0,100,42,9,2,207,99,0
14,Eagles,Cowboys,Cowboys,17,5,249,63,9,2,207,99,1
14,Bills,Chiefs,Bills,8,0,69,24,18,2,148,40,0
3,Bills,Commanders,Bills,8,0,85,52,18,2,148,40,0
12,Bills,Eagles,Eagles,9,2,207,99,18,2,148,40,1
16,Bills,Chargers,Bills,9,0,31,9,18,2,148,40,0
1,Bills,Jets,Jets,17,2,212,51,18,2,148,40,1
9,Bills,Bengals,Bengals,17,1,152,30,18,2,148,40,1
7,Bills,Patriots,Patriots,10,0,96,32,18,2,148,40,1
18,Bills,Dolphins,Bills,15,4,270,99,18,2,148,40,0
16,Raiders,Chiefs,Raiders,8,0,69,24,13,3,268,75,0
17,Raiders,Colts,Colts,15,3,256,66,13,3,268,75,1
7,Raiders,Bears,Bears,22,2,245,45,13,3,268,75,1
1,Raiders,Broncos,Raiders,11,0,85,33,13,3,268,75,0
