Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,KRet TD_home,20_home,40_home,Lng_home,FC_home,FUM_home,FG Blk_home,XP Blk_home,Avg_away,Ret_away,Yds_away,KRet TD_away,20_away,40_away,Lng_away,FC_away,FUM_away,FG Blk_away,XP Blk_away,Home_Win
1,Lions,Chiefs,Lions,20.1,12,241,0,8,0,31,6,0,1,0,22.2,19,421,0,11,0,31,2,1,0,1,0
16,Lions,Vikings,Lions,25.1,19,477,0,14,1,47,1,0,0,1,22.2,19,421,0,11,0,31,2,1,0,1,0
13,Lions,Saints,Lions,21.2,22,466,0,11,0,28,1,1,0,0,22.2,19,421,0,11,0,31,2,1,0,1,0
7,Lions,Ravens,Ravens,24.5,13,319,0,8,1,78,4,0,0,0,22.2,19,421,0,11,0,31,2,1,0,1,1
14,Lions,Bears,Bears,23.6,23,543,0,18,0,37,2,0,1,1,22.2,19,421,0,11,0,31,2,1,0,1,1
10,Lions,Chargers,Lions,21.7,18,390,0,13,1,46,2,0,0,0,22.2,19,421,0,11,0,31,2,1,0,1,0
6,Lions,Buccaneers,Lions,20.4,16,327,0,7,0,32,5,0,0,0,22.2,19,421,0,11,0,31,2,1,0,1,0
17,Lions,Cowboys,Cowboys,21.8,18,393,0,10,2,63,0,0,1,0,22.2,19,421,0,11,0,31,2,1,0,1,1
4,Lions,Packers,Lions,25.3,31,783,0,26,2,51,0,0,2,0,22.2,19,421,0,11,0,31,2,1,0,1,0
3,Bears,Chiefs,Chiefs,20.1,12,241,0,8,0,31,6,0,1,0,23.6,23,543,0,18,0,37,2,0,1,1,1
15,Bears,Browns,Browns,23.7,11,261,0,7,0,36,2,0,3,0,23.6,23,543,0,18,0,37,2,0,1,1,1
12,Bears,Vikings,Bears,25.1,19,477,0,14,1,47,1,0,0,1,23.6,23,543,0,18,0,37,2,0,1,1,0
9,Bears,Saints,Saints,21.2,22,466,0,11,0,28,1,1,0,0,23.6,23,543,0,18,0,37,2,0,1,1,1
5,Bears,Commanders,Bears,25.0,24,601,0,18,1,40,0,1,1,0,23.6,23,543,0,18,0,37,2,0,1,1,0
8,Bears,Chargers,Chargers,21.7,18,390,0,13,1,46,2,0,0,0,23.6,23,543,0,18,0,37,2,0,1,1,1
11,Bears,Lions,Lions,22.2,19,421,0,11,0,31,2,1,0,1,23.6,23,543,0,18,0,37,2,0,1,1,0
2,Bears,Buccaneers,Buccaneers,20.4,16,327,0,7,0,32,5,0,0,0,23.6,23,543,0,18,0,37,2,0,1,1,1
18,Bears,Packers,Packers,25.3,31,783,0,26,2,51,0,0,2,0,23.6,23,543,0,18,0,37,2,0,1,1,1
6,Broncos,Chiefs,Chiefs,20.1,12,241,0,8,0,31,6,0,1,0,24.9,16,398,1,11,1,99,2,1,1,0,1
4,Broncos,Bears,Broncos,23.6,23,543,0,18,0,37,2,0,1,1,24.9,16,398,1,11,1,99,2,1,1,0,0
14,Broncos,Chargers,Broncos,21.7,18,390,0,13,1,46,2,0,0,0,24.9,16,398,1,11,1,99,2,1,1,0,0
10,Broncos,Bills,Broncos,20.5,17,349,0,10,1,41,4,0,1,0,24.9,16,398,1,11,1,99,2,1,1,0,0
