Week,Away Team,Home Team,Winning Team,Att_home,Cmp_home,Cmp %_home,Yds/Att_home,Yds_home,TD_home,INT_home,Rate_home,1st_home,1st%_home,20_home,40_home,Lng_home,Sck_home,Att_away,Cmp_away,Cmp %_away,Yds/Att_away,Yds_away,TD_away,INT_away,Rate_away,1st_away,1st%_away,20_away,40_away,Lng_away,Sck_away,Home_Win
1,Lions,Chiefs,Lions,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,0
16,Lions,Vikings,Lions,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70,43,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,0
13,Lions,Saints,Lions,558,333,59.7,6.8,3768,22,18,79.6,167,29.9,48,9,71,34,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,0
7,Lions,Ravens,Ravens,634,384,60.6,5.9,3717,18,18,74.6,175,27.6,46,6,71,60,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,1
14,Lions,Bears,Bears,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,1
10,Lions,Chargers,Lions,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,0
6,Lions,Buccaneers,Lions,611,404,66.1,7.5,4568,23,13,92.0,213,34.9,65,9,76,48,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,0
17,Lions,Cowboys,Cowboys,509,308,60.5,6.8,3481,21,17,80.8,166,32.6,47,7,73,46,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,1
4,Lions,Packers,Lions,523,342,65.4,7.3,3803,21,7,94.7,189,36.1,56,3,52,45,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,0
3,Bears,Chiefs,Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,1
15,Bears,Browns,Browns,535,307,57.4,5.9,3149,23,18,74.7,136,25.4,39,7,75,49,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,1
12,Bears,Vikings,Bears,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70,43,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,0
9,Bears,Saints,Saints,558,333,59.7,6.8,3768,22,18,79.6,167,29.9,48,9,71,34,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,1
5,Bears,Commanders,Bears,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,0
8,Bears,Chargers,Chargers,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,1
11,Bears,Lions,Lions,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,0
2,Bears,Buccaneers,Buccaneers,611,404,66.1,7.5,4568,23,13,92.0,213,34.9,65,9,76,48,617,410,66.4,6.9,4245,31,22,88.0,196,31.8,48,10,75,30,1
