Week,Away Team,Home Team,Winning Team,Att_home,Cmp_home,Cmp %_home,Yds/Att_home,Pass Yds_home,TD_home,INT_home,Rate_home,1st_home,1st%_home,20_home,40_home,Lng_home,Sck_home,SckY_home,Att_away,Cmp_away,Cmp %_away,Yds/Att_away,Pass Yds_away,TD_away,INT_away,Rate_away,1st_away,1st%_away,20_away,40_away,Lng_away,Sck_away,SckY_away,Home_Win
1,Lions,Chiefs,Lions,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,0
16,Lions,Vikings,Lions,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62,47,341,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,0
13,Lions,Saints,Lions,606,406,67.0,7.0,4225,28,11,94.8,199,32.8,52,11,58,35,235,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,0
7,Lions,Ravens,Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,1
14,Lions,Bears,Bears,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,1
10,Lions,Chargers,Lions,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,0
6,Lions,Buccaneers,Lions,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,0
17,Lions,Cowboys,Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,1
4,Lions,Packers,Lions,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,0
3,Bears,Chiefs,Chiefs,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,1
15,Bears,Browns,Browns,624,355,56.9,6.4,4011,24,23,73.7,173,27.7,53,15,75,45,318,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,1
12,Bears,Vikings,Bears,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62,47,341,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,0
9,Bears,Saints,Saints,606,406,67.0,7.0,4225,28,11,94.8,199,32.8,52,11,58,35,235,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,1
5,Bears,Commanders,Bears,636,407,64.0,6.6,4174,24,21,81.6,190,29.9,48,5,51,65,449,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,0
8,Bears,Chargers,Chargers,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,1
11,Bears,Lions,Lions,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,0
2,Bears,Buccaneers,Buccaneers,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,1
18,Bears,Packers,Packers,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,1
6,Broncos,Chiefs,Chiefs,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,1
4,Broncos,Bears,Broncos,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,0
14,Broncos,Chargers,Broncos,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,0
10,Broncos,Bills,Broncos,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,0
15,Broncos,Lions,Lions,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,1
13,Broncos,Texans,Texans,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,1
