Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,PRet T_home,20_home,40_home,Lng_home,FC_home,FUM_home,P Blk_home,Avg_away,Ret_away,Yds_away,PRet T_away,20_away,40_away,Lng_away,FC_away,FUM_away,P Blk_away,Home_Win
1,Lions,Chiefs,Lions,9.3,41,380,0,7,1,50,17,5,0,11.4,29,331,0,3,1,42,23,1,0,0
16,Lions,Vikings,Lions,7.8,37,289,0,3,0,25,14,1,0,11.4,29,331,0,3,1,42,23,1,0,0
13,Lions,Saints,Lions,12.2,32,392,1,2,1,76,24,0,0,11.4,29,331,0,3,1,42,23,1,0,0
7,Lions,Ravens,Ravens,14.4,29,417,1,6,2,76,27,0,0,11.4,29,331,0,3,1,42,23,1,0,1
14,Lions,Bears,Bears,8.2,23,188,0,1,0,31,21,2,0,11.4,29,331,0,3,1,42,23,1,0,1
10,Lions,Chargers,Lions,16.0,24,385,1,6,1,87,29,3,0,11.4,29,331,0,3,1,42,23,1,0,0
6,Lions,Buccaneers,Lions,9.4,25,234,0,1,1,51,18,2,0,11.4,29,331,0,3,1,42,23,1,0,0
17,Lions,Cowboys,Cowboys,5.4,18,98,0,0,0,15,23,1,2,11.4,29,331,0,3,1,42,23,1,0,1
4,Lions,Packers,Lions,7.3,26,189,0,3,0,35,15,6,0,11.4,29,331,0,3,1,42,23,1,0,0
3,Bears,Chiefs,Chiefs,9.3,41,380,0,7,1,50,17,5,0,8.2,23,188,0,1,0,31,21,2,0,1
15,Bears,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,8.2,23,188,0,1,0,31,21,2,0,1
12,Bears,Vikings,Bears,7.8,37,289,0,3,0,25,14,1,0,8.2,23,188,0,1,0,31,21,2,0,0
9,Bears,Saints,Saints,12.2,32,392,1,2,1,76,24,0,0,8.2,23,188,0,1,0,31,21,2,0,1
5,Bears,Commanders,Bears,7.9,35,278,0,3,1,61,14,2,0,8.2,23,188,0,1,0,31,21,2,0,0
8,Bears,Chargers,Chargers,16.0,24,385,1,6,1,87,29,3,0,8.2,23,188,0,1,0,31,21,2,0,1
11,Bears,Lions,Lions,11.4,29,331,0,3,1,42,23,1,0,8.2,23,188,0,1,0,31,21,2,0,0
2,Bears,Buccaneers,Buccaneers,9.4,25,234,0,1,1,51,18,2,0,8.2,23,188,0,1,0,31,21,2,0,1
18,Bears,Packers,Packers,7.3,26,189,0,3,0,35,15,6,0,8.2,23,188,0,1,0,31,21,2,0,1
6,Broncos,Chiefs,Chiefs,9.3,41,380,0,7,1,50,17,5,0,16.3,20,326,0,5,2,52,15,1,0,1
4,Broncos,Bears,Broncos,8.2,23,188,0,1,0,31,21,2,0,16.3,20,326,0,5,2,52,15,1,0,0
14,Broncos,Chargers,Broncos,16.0,24,385,1,6,1,87,29,3,0,16.3,20,326,0,5,2,52,15,1,0,0
10,Broncos,Bills,Broncos,11.6,31,360,1,4,1,96,25,3,0,16.3,20,326,0,5,2,52,15,1,0,0
15,Broncos,Lions,Lions,11.4,29,331,0,3,1,42,23,1,0,16.3,20,326,0,5,2,52,15,1,0,1
13,Broncos,Texans,Texans,9.7,30,292,0,2,0,22,24,2,0,16.3,20,326,0,5,2,52,15,1,0,1
3,Broncos,Dolphins,Dolphins,9.8,27,265,0,0,0,19,26,1,0,16.3,20,326,0,5,2,52,15,1,0,1
18,Broncos,Raiders,Raiders,10.0,25,249,0,1,0,32,18,2,0,16.3,20,326,0,5,2,52,15,1,0,1
7,Chargers,Chiefs,Chiefs,9.3,41,380,0,7,1,50,17,5,0,16.0,24,385,1,6,1,87,29,3,0,1
3,Chargers,Vikings,Chargers,7.8,37,289,0,3,0,25,14,1,0,16.0,24,385,1,6,1,87,29,3,0,0
17,Chargers,Broncos,Broncos,16.3,20,326,0,5,2,52,15,1,0,16.0,24,385,1,6,1,87,29,3,0,1
9,Chargers,Jets,Chargers,9.7,33,319,1,2,1,65,31,3,1,16.0,24,385,1,6,1,87,29,3,0,0
2,Chargers,Titans,Titans,7.9,42,330,0,1,0,21,14,3,0,16.0,24,385,1,6,1,87,29,3,0,1
13,Chargers,Patriots,Chargers,6.3,33,208,0,2,0,25,26,5,0,16.0,24,385,1,6,1,87,29,3,0,0
11,Chargers,Packers,Packers,7.3,26,189,0,3,0,35,15,6,0,16.0,24,385,1,6,1,87,29,3,0,1
15,Chargers,Raiders,Raiders,10.0,25,249,0,1,0,32,18,2,0,16.0,24,385,1,6,1,87,29,3,0,1
9,Dolphins,Chiefs,Chiefs,9.3,41,380,0,7,1,50,17,5,0,9.8,27,265,0,0,0,19,26,1,0,1
13,Dolphins,Commanders,Dolphins,7.9,35,278,0,3,1,61,14,2,0,9.8,27,265,0,0,0,19,26,1,0,0
17,Dolphins,Ravens,Ravens,14.4,29,417,1,6,2,76,27,0,0,9.8,27,265,0,0,0,19,26,1,0,1
7,Dolphins,Eagles,Eagles,14.4,29,417,0,7,2,54,18,2,0,9.8,27,265,0,0,0,19,26,1,0,1
1,Dolphins,Chargers,Dolphins,16.0,24,385,1,6,1,87,29,3,0,9.8,27,265,0,0,0,19,26,1,0,0
12,Dolphins,Jets,Dolphins,9.7,33,319,1,2,1,65,31,3,1,9.8,27,265,0,0,0,19,26,1,0,0
4,Dolphins,Bills,Bills,11.6,31,360,1,4,1,96,25,3,0,9.8,27,265,0,0,0,19,26,1,0,1
2,Dolphins,Patriots,Dolphins,6.3,33,208,0,2,0,25,26,5,0,9.8,27,265,0,0,0,19,26,1,0,0
11,Eagles,Chiefs,Eagles,9.3,41,380,0,7,1,50,17,5,0,14.4,29,417,0,7,2,54,18,2,0,0
8,Eagles,Commanders,Eagles,7.9,35,278,0,3,1,61,14,2,0,14.4,29,417,0,7,2,54,18,2,0,0
15,Eagles,Seahawks,Seahawks,10.6,25,265,0,3,0,32,16,2,0,14.4,29,417,0,7,2,54,18,2,0,1
18,Eagles,Giants,Giants,8.9,35,311,1,1,1,94,16,7,0,14.4,29,417,0,7,2,54,18,2,0,1
6,Eagles,Jets,Jets,9.7,33,319,1,2,1,65,31,3,1,14.4,29,417,0,7,2,54,18,2,0,1
3,Eagles,Buccaneers,Eagles,9.4,25,234,0,1,1,51,18,2,0,14.4,29,417,0,7,2,54,18,2,0,0
5,Eagles,Rams,Eagles,7.3,28,204,0,1,0,29,24,3,0,14.4,29,417,0,7,2,54,18,2,0,0
14,Eagles,Cowboys,Cowboys,5.4,18,98,0,0,0,15,23,1,2,14.4,29,417,0,7,2,54,18,2,0,1
14,Bills,Chiefs,Bills,9.3,41,380,0,7,1,50,17,5,0,11.6,31,360,1,4,1,96,25,3,0,0
3,Bills,Commanders,Bills,7.9,35,278,0,3,1,61,14,2,0,11.6,31,360,1,4,1,96,25,3,0,0
12,Bills,Eagles,Eagles,14.4,29,417,0,7,2,54,18,2,0,11.6,31,360,1,4,1,96,25,3,0,1
16,Bills,Chargers,Bills,16.0,24,385,1,6,1,87,29,3,0,11.6,31,360,1,4,1,96,25,3,0,0
1,Bills,Jets,Jets,9.7,33,319,1,2,1,65,31,3,1,11.6,31,360,1,4,1,96,25,3,0,1
9,Bills,Bengals,Bengals,10.2,34,346,1,4,1,81,16,1,0,11.6,31,360,1,4,1,96,25,3,0,1
7,Bills,Patriots,Patriots,6.3,33,208,0,2,0,25,26,5,0,11.6,31,360,1,4,1,96,25,3,0,1
18,Bills,Dolphins,Bills,9.8,27,265,0,0,0,19,26,1,0,11.6,31,360,1,4,1,96,25,3,0,0
16,Raiders,Chiefs,Raiders,9.3,41,380,0,7,1,50,17,5,0,10.0,25,249,0,1,0,32,18,2,0,0
17,Raiders,Colts,Colts,9.2,29,267,0,2,0,32,22,3,1,10.0,25,249,0,1,0,32,18,2,0,1
7,Raiders,Bears,Bears,8.2,23,188,0,1,0,31,21,2,0,10.0,25,249,0,1,0,32,18,2,0,1
1,Raiders,Broncos,Raiders,16.3,20,326,0,5,2,52,15,1,0,10.0,25,249,0,1,0,32,18,2,0,0
4,Raiders,Chargers,Chargers,16.0,24,385,1,6,1,87,29,3,0,10.0,25,249,0,1,0,32,18,2,0,1
2,Raiders,Bills,Bills,11.6,31,360,1,4,1,96,25,3,0,10.0,25,249,0,1,0,32,18,2,0,1
8,Raiders,Lions,Lions,11.4,29,331,0,3,1,42,23,1,0,10.0,25,249,0,1,0,32,18,2,0,1
11,Raiders,Dolphins,Dolphins,9.8,27,265,0,0,0,19,26,1,0,10.0,25,249,0,1,0,32,18,2,0,1
17,Bengals,Chiefs,Chiefs,9.3,41,380,0,7,1,50,17,5,0,10.2,34,346,1,4,1,81,16,1,0,1
1,Bengals,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,10.2,34,346,1,4,1,81,16,1,0,1
16,Bengals,Steelers,Steelers,8.6,30,257,0,3,0,34,13,3,2,10.2,34,346,1,4,1,81,16,1,0,1
11,Bengals,Ravens,Ravens,14.4,29,417,1,6,2,76,27,0,0,10.2,34,346,1,4,1,81,16,1,0,1
4,Bengals,Titans,Titans,7.9,42,330,0,1,0,21,14,3,0,10.2,34,346,1,4,1,81,16,1,0,1
13,Bengals,Jaguars,Bengals,10.2,29,297,0,4,1,48,17,2,0,10.2,34,346,1,4,1,81,16,1,0,0
5,Bengals,Cardinals,Bengals,9.2,31,286,0,2,1,49,11,1,0,10.2,34,346,1,4,1,81,16,1,0,0
8,Bengals,49ers,Bengals,8.0,34,273,0,0,0,19,13,2,0,10.2,34,346,1,4,1,81,16,1,0,0
1,Panthers,Falcons,Falcons,7.2,33,239,0,1,0,23,18,2,0,8.7,37,322,1,4,1,79,20,2,0,1
14,Panthers,Saints,Saints,12.2,32,392,1,2,1,76,24,0,0,8.7,37,322,1,4,1,79,20,2,0,1
10,Panthers,Bears,Bears,8.2,23,188,0,1,0,31,21,2,0,8.7,37,322,1,4,1,79,20,2,0,1
3,Panthers,Seahawks,Seahawks,10.6,25,265,0,3,0,32,16,2,0,8.7,37,322,1,4,1,79,20,2,0,1
5,Panthers,Lions,Lions,11.4,29,331,0,3,1,42,23,1,0,8.7,37,322,1,4,1,79,20,2,0,1
12,Panthers,Titans,Titans,7.9,42,330,0,1,0,21,14,3,0,8.7,37,322,1,4,1,79,20,2,0,1
13,Panthers,Buccaneers,Buccaneers,9.4,25,234,0,1,1,51,18,2,0,8.7,37,322,1,4,1,79,20,2,0,1
17,Panthers,Jaguars,Jaguars,10.2,29,297,0,4,1,48,17,2,0,8.7,37,322,1,4,1,79,20,2,0,1
6,Panthers,Dolphins,Dolphins,9.8,27,265,0,0,0,19,26,1,0,8.7,37,322,1,4,1,79,20,2,0,1
2,Packers,Falcons,Falcons,7.2,33,239,0,1,0,23,18,2,0,7.3,26,189,0,3,0,35,15,6,0,1
17,Packers,Vikings,Packers,7.8,37,289,0,3,0,25,14,1,0,7.3,26,189,0,3,0,35,15,6,0,0
10,Packers,Steelers,Steelers,8.6,30,257,0,3,0,34,13,3,2,7.3,26,189,0,3,0,35,15,6,0,1
1,Packers,Bears,Packers,8.2,23,188,0,1,0,31,21,2,0,7.3,26,189,0,3,0,35,15,6,0,0
7,Packers,Broncos,Broncos,16.3,20,326,0,5,2,52,15,1,0,7.3,26,189,0,3,0,35,15,6,0,1
14,Packers,Giants,Giants,8.9,35,311,1,1,1,94,16,7,0,7.3,26,189,0,3,0,35,15,6,0,1
12,Packers,Lions,Packers,11.4,29,331,0,3,1,42,23,1,0,7.3,26,189,0,3,0,35,15,6,0,0
