Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,PDef_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,PDef_away,Home_Win
1,Lions,Chiefs,Lions,340,3352,9.9,19,39,3,60,169,49.7,6,71,371,4562,12.3,28,69,9,92,209,56.3,3,57,0
16,Lions,Vikings,Lions,426,4288,10.1,23,51,7,70,208,48.8,9,91,371,4562,12.3,28,69,9,92,209,56.3,3,57,0
13,Lions,Saints,Lions,333,3768,11.3,22,48,9,71,167,50.2,4,68,371,4562,12.3,28,69,9,92,209,56.3,3,57,0
7,Lions,Ravens,Ravens,384,3717,9.7,18,46,6,71,175,45.6,3,47,371,4562,12.3,28,69,9,92,209,56.3,3,57,1
14,Lions,Bears,Bears,410,4245,10.4,31,48,10,75,196,47.8,4,80,371,4562,12.3,28,69,9,92,209,56.3,3,57,1
10,Lions,Chargers,Lions,389,4580,11.8,26,61,14,70,203,52.2,3,86,371,4562,12.3,28,69,9,92,209,56.3,3,57,0
6,Lions,Buccaneers,Lions,404,4568,11.3,23,65,9,76,213,52.7,6,89,371,4562,12.3,28,69,9,92,209,56.3,3,57,0
17,Lions,Cowboys,Cowboys,308,3481,11.3,21,47,7,73,166,53.9,5,82,371,4562,12.3,28,69,9,92,209,56.3,3,57,1
4,Lions,Packers,Lions,342,3803,11.1,21,56,3,52,189,55.3,1,71,371,4562,12.3,28,69,9,92,209,56.3,3,57,0
3,Bears,Chiefs,Chiefs,340,3352,9.9,19,39,3,60,169,49.7,6,71,410,4245,10.4,31,48,10,75,196,47.8,4,80,1
15,Bears,Browns,Browns,307,3149,10.3,23,39,7,75,136,44.3,2,95,410,4245,10.4,31,48,10,75,196,47.8,4,80,1
12,Bears,Vikings,Bears,426,4288,10.1,23,51,7,70,208,48.8,9,91,410,4245,10.4,31,48,10,75,196,47.8,4,80,0
9,Bears,Saints,Saints,333,3768,11.3,22,48,9,71,167,50.2,4,68,410,4245,10.4,31,48,10,75,196,47.8,4,80,1
5,Bears,Commanders,Bears,396,4627,11.7,39,60,12,78,218,55.0,3,98,410,4245,10.4,31,48,10,75,196,47.8,4,80,0
8,Bears,Chargers,Chargers,389,4580,11.8,26,61,14,70,203,52.2,3,86,410,4245,10.4,31,48,10,75,196,47.8,4,80,1
11,Bears,Lions,Lions,371,4562,12.3,28,69,9,92,209,56.3,3,57,410,4245,10.4,31,48,10,75,196,47.8,4,80,0
2,Bears,Buccaneers,Buccaneers,404,4568,11.3,23,65,9,76,213,52.7,6,89,410,4245,10.4,31,48,10,75,196,47.8,4,80,1
18,Bears,Packers,Packers,342,3803,11.1,21,56,3,52,189,55.3,1,71,410,4245,10.4,31,48,10,75,196,47.8,4,80,1
6,Broncos,Chiefs,Chiefs,340,3352,9.9,19,39,3,60,169,49.7,6,71,382,4302,11.3,29,56,8,68,201,52.6,2,66,1
4,Broncos,Bears,Broncos,410,4245,10.4,31,48,10,75,196,47.8,4,80,382,4302,11.3,29,56,8,68,201,52.6,2,66,0
14,Broncos,Chargers,Broncos,389,4580,11.8,26,61,14,70,203,52.2,3,86,382,4302,11.3,29,56,8,68,201,52.6,2,66,0
10,Broncos,Bills,Broncos,363,3676,10.1,18,44,1,48,183,50.4,7,67,382,4302,11.3,29,56,8,68,201,52.6,2,66,0
15,Broncos,Lions,Lions,371,4562,12.3,28,69,9,92,209,56.3,3,57,382,4302,11.3,29,56,8,68,201,52.6,2,66,1
13,Broncos,Texans,Texans,382,4334,11.4,17,60,15,75,185,48.4,6,73,382,4302,11.3,29,56,8,68,201,52.6,2,66,1
3,Broncos,Dolphins,Dolphins,380,4132,10.9,27,57,10,75,186,49.0,6,66,382,4302,11.3,29,56,8,68,201,52.6,2,66,1
18,Broncos,Raiders,Raiders,376,3900,10.4,21,43,11,79,187,49.7,4,78,382,4302,11.3,29,56,8,68,201,52.6,2,66,1
7,Chargers,Chiefs,Chiefs,340,3352,9.9,19,39,3,60,169,49.7,6,71,389,4580,11.8,26,61,14,70,203,52.2,3,86,1
3,Chargers,Vikings,Chargers,426,4288,10.1,23,51,7,70,208,48.8,9,91,389,4580,11.8,26,61,14,70,203,52.2,3,86,0
17,Chargers,Broncos,Broncos,382,4302,11.3,29,56,8,68,201,52.6,2,66,389,4580,11.8,26,61,14,70,203,52.2,3,86,1
9,Chargers,Jets,Chargers,313,3182,10.2,19,39,7,81,150,47.9,5,89,389,4580,11.8,26,61,14,70,203,52.2,3,86,0
2,Chargers,Titans,Titans,387,4181,10.8,20,52,11,59,189,48.8,2,79,389,4580,11.8,26,61,14,70,203,52.2,3,86,1
13,Chargers,Patriots,Chargers,370,3791,10.2,19,48,6,51,181,48.9,3,89,389,4580,11.8,26,61,14,70,203,52.2,3,86,0
11,Chargers,Packers,Packers,342,3803,11.1,21,56,3,52,189,55.3,1,71,389,4580,11.8,26,61,14,70,203,52.2,3,86,1
15,Chargers,Raiders,Raiders,376,3900,10.4,21,43,11,79,187,49.7,4,78,389,4580,11.8,26,61,14,70,203,52.2,3,86,1
9,Dolphins,Chiefs,Chiefs,340,3352,9.9,19,39,3,60,169,49.7,6,71,380,4132,10.9,27,57,10,75,186,49.0,6,66,1
13,Dolphins,Commanders,Dolphins,396,4627,11.7,39,60,12,78,218,55.0,3,98,380,4132,10.9,27,57,10,75,186,49.0,6,66,0
17,Dolphins,Ravens,Ravens,384,3717,9.7,18,46,6,71,175,45.6,3,47,380,4132,10.9,27,57,10,75,186,49.0,6,66,1
7,Dolphins,Eagles,Eagles,425,4551,10.7,35,56,6,69,222,52.2,6,80,380,4132,10.9,27,57,10,75,186,49.0,6,66,1
1,Dolphins,Chargers,Dolphins,389,4580,11.8,26,61,14,70,203,52.2,3,86,380,4132,10.9,27,57,10,75,186,49.0,6,66,0
12,Dolphins,Jets,Dolphins,313,3182,10.2,19,39,7,81,150,47.9,5,89,380,4132,10.9,27,57,10,75,186,49.0,6,66,0
4,Dolphins,Bills,Bills,363,3676,10.1,18,44,1,48,183,50.4,7,67,380,4132,10.9,27,57,10,75,186,49.0,6,66,1
2,Dolphins,Patriots,Dolphins,370,3791,10.2,19,48,6,51,181,48.9,3,89,380,4132,10.9,27,57,10,75,186,49.0,6,66,0
11,Eagles,Chiefs,Eagles,340,3352,9.9,19,39,3,60,169,49.7,6,71,425,4551,10.7,35,56,6,69,222,52.2,6,80,0
8,Eagles,Commanders,Eagles,396,4627,11.7,39,60,12,78,218,55.0,3,98,425,4551,10.7,35,56,6,69,222,52.2,6,80,0
15,Eagles,Seahawks,Seahawks,390,4259,10.9,21,57,10,54,202,51.8,5,74,425,4551,10.7,35,56,6,69,222,52.2,6,80,1
18,Eagles,Giants,Giants,371,4157,11.2,21,43,10,80,191,51.5,8,71,425,4551,10.7,35,56,6,69,222,52.2,6,80,1
6,Eagles,Jets,Jets,313,3182,10.2,19,39,7,81,150,47.9,5,89,425,4551,10.7,35,56,6,69,222,52.2,6,80,1
3,Eagles,Buccaneers,Eagles,404,4568,11.3,23,65,9,76,213,52.7,6,89,425,4551,10.7,35,56,6,69,222,52.2,6,80,0
