Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,Home_Win
1,Lions,Chiefs,Lions,421,4383,10.4,28,52,8,67,216,51.3,7,408,4606,11.3,30,70,9,70,228,55.9,4,0
16,Lions,Vikings,Lions,424,4700,11.1,30,74,7,62,220,51.9,4,408,4606,11.3,30,70,9,70,228,55.9,4,0
13,Lions,Saints,Lions,406,4225,10.4,28,52,11,58,199,49.0,0,408,4606,11.3,30,70,9,70,228,55.9,4,0
7,Lions,Ravens,Ravens,328,3881,11.8,27,52,9,80,180,54.9,6,408,4606,11.3,30,70,9,70,228,55.9,4,1
14,Lions,Bears,Bears,321,3421,10.7,19,48,5,58,169,52.6,4,408,4606,11.3,30,70,9,70,228,55.9,4,1
10,Lions,Chargers,Lions,409,4312,10.5,24,55,7,79,204,49.9,8,408,4606,11.3,30,70,9,70,228,55.9,4,0
6,Lions,Buccaneers,Lions,364,4044,11.1,28,60,12,75,188,51.6,7,408,4606,11.3,30,70,9,70,228,55.9,4,0
17,Lions,Cowboys,Cowboys,428,4660,10.9,36,64,7,92,229,53.5,6,408,4606,11.3,30,70,9,70,228,55.9,4,1
4,Lions,Packers,Lions,374,4210,11.3,32,56,7,77,211,56.4,5,408,4606,11.3,30,70,9,70,228,55.9,4,0
3,Bears,Chiefs,Chiefs,421,4383,10.4,28,52,8,67,216,51.3,7,321,3421,10.7,19,48,5,58,169,52.6,4,1
15,Bears,Browns,Browns,355,4011,11.3,24,53,15,75,173,48.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,1
12,Bears,Vikings,Bears,424,4700,11.1,30,74,7,62,220,51.9,4,321,3421,10.7,19,48,5,58,169,52.6,4,0
9,Bears,Saints,Saints,406,4225,10.4,28,52,11,58,199,49.0,0,321,3421,10.7,19,48,5,58,169,52.6,4,1
5,Bears,Commanders,Bears,407,4174,10.3,24,48,5,51,190,46.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,0
8,Bears,Chargers,Chargers,409,4312,10.5,24,55,7,79,204,49.9,8,321,3421,10.7,19,48,5,58,169,52.6,4,1
11,Bears,Lions,Lions,408,4606,11.3,30,70,9,70,228,55.9,4,321,3421,10.7,19,48,5,58,169,52.6,4,0
2,Bears,Buccaneers,Buccaneers,364,4044,11.1,28,60,12,75,188,51.6,7,321,3421,10.7,19,48,5,58,169,52.6,4,1
18,Bears,Packers,Packers,374,4210,11.3,32,56,7,77,211,56.4,5,321,3421,10.7,19,48,5,58,169,52.6,4,1
6,Broncos,Chiefs,Chiefs,421,4383,10.4,28,52,8,67,216,51.3,7,337,3566,10.6,28,44,13,60,154,45.7,7,1
4,Broncos,Bears,Broncos,321,3421,10.7,19,48,5,58,169,52.6,4,337,3566,10.6,28,44,13,60,154,45.7,7,0
14,Broncos,Chargers,Broncos,409,4312,10.5,24,55,7,79,204,49.9,8,337,3566,10.6,28,44,13,60,154,45.7,7,0
10,Broncos,Bills,Broncos,385,4306,11.2,29,49,9,81,199,51.7,6,337,3566,10.6,28,44,13,60,154,45.7,7,0
15,Broncos,Lions,Lions,408,4606,11.3,30,70,9,70,228,55.9,4,337,3566,10.6,28,44,13,60,154,45.7,7,1
13,Broncos,Texans,Texans,372,4578,12.3,27,69,10,75,215,57.8,3,337,3566,10.6,28,44,13,60,154,45.7,7,1
3,Broncos,Dolphins,Dolphins,393,4698,12.0,30,59,12,78,223,56.7,4,337,3566,10.6,28,44,13,60,154,45.7,7,1
18,Broncos,Raiders,Raiders,348,3666,10.5,20,35,5,50,182,52.3,3,337,3566,10.6,28,44,13,60,154,45.7,7,1
7,Chargers,Chiefs,Chiefs,421,4383,10.4,28,52,8,67,216,51.3,7,409,4312,10.5,24,55,7,79,204,49.9,8,1
3,Chargers,Vikings,Chargers,424,4700,11.1,30,74,7,62,220,51.9,4,409,4312,10.5,24,55,7,79,204,49.9,8,0
17,Chargers,Broncos,Broncos,337,3566,10.6,28,44,13,60,154,45.7,7,409,4312,10.5,24,55,7,79,204,49.9,8,1
9,Chargers,Jets,Chargers,356,3373,9.5,11,37,3,68,156,43.8,2,409,4312,10.5,24,55,7,79,204,49.9,8,0
2,Chargers,Titans,Titans,304,3512,11.6,14,54,10,70,158,52.0,2,409,4312,10.5,24,55,7,79,204,49.9,8,1
