Week,Away Team,Home Team,Winning Team,Att_home,Rush Yds_home,YPC_home,TD_home,20_home,40_home,Lng_home,Rush 1st_home,Rush 1st%_home,Rush FUM_home,Att_away,Rush Yds_away,YPC_away,TD_away,20_away,40_away,Lng_away,Rush 1st_away,Rush 1st%_away,Rush FUM_away,Home_Win
1,Lions,Chiefs,Lions,432,1925,4.5,10,7,4,63,107,24.8,7,408,1509,3.7,15,5,0,37,91,22.3,4,0
16,Lions,Vikings,Lions,446,1678,3.8,14,2,1,43,104,23.3,7,408,1509,3.7,15,5,0,37,91,22.3,4,0
13,Lions,Saints,Lions,462,2038,4.4,10,11,3,48,100,21.6,4,408,1509,3.7,15,5,0,37,91,22.3,4,0
7,Lions,Ravens,Ravens,415,1860,4.5,6,10,3,63,96,23.1,4,408,1509,3.7,15,5,0,37,91,22.3,4,1
14,Lions,Bears,Bears,388,1468,3.8,8,6,0,36,88,22.7,6,408,1509,3.7,15,5,0,37,91,22.3,4,1
10,Lions,Chargers,Lions,467,1924,4.1,18,11,1,75,110,23.6,8,408,1509,3.7,15,5,0,37,91,22.3,4,0
6,Lions,Buccaneers,Lions,422,1620,3.8,11,5,0,29,101,23.9,8,408,1509,3.7,15,5,0,37,91,22.3,4,0
17,Lions,Cowboys,Cowboys,459,1910,4.2,14,9,2,45,108,23.5,8,408,1509,3.7,15,5,0,37,91,22.3,4,1
4,Lions,Packers,Lions,493,2181,4.4,15,16,1,40,120,24.3,5,408,1509,3.7,15,5,0,37,91,22.3,4,0
3,Bears,Chiefs,Chiefs,432,1925,4.5,10,7,4,63,107,24.8,7,388,1468,3.8,8,6,0,36,88,22.7,6,1
15,Bears,Browns,Browns,420,1793,4.3,15,18,3,74,87,20.7,5,388,1468,3.8,8,6,0,36,88,22.7,6,1
12,Bears,Vikings,Bears,446,1678,3.8,14,2,1,43,104,23.3,7,388,1468,3.8,8,6,0,36,88,22.7,6,0
9,Bears,Saints,Saints,462,2038,4.4,10,11,3,48,100,21.6,4,388,1468,3.8,8,6,0,36,88,22.7,6,1
5,Bears,Commanders,Bears,480,2155,4.5,15,14,1,64,121,25.2,8,388,1468,3.8,8,6,0,36,88,22.7,6,0
8,Bears,Chargers,Chargers,467,1924,4.1,18,11,1,75,110,23.6,8,388,1468,3.8,8,6,0,36,88,22.7,6,1
11,Bears,Lions,Lions,408,1509,3.7,15,5,0,37,91,22.3,4,388,1468,3.8,8,6,0,36,88,22.7,6,0
2,Bears,Buccaneers,Buccaneers,422,1620,3.8,11,5,0,29,101,23.9,8,388,1468,3.8,8,6,0,36,88,22.7,6,1
18,Bears,Packers,Packers,493,2181,4.4,15,16,1,40,120,24.3,5,388,1468,3.8,8,6,0,36,88,22.7,6,1
6,Broncos,Chiefs,Chiefs,432,1925,4.5,10,7,4,63,107,24.8,7,469,2331,5.0,15,17,5,72,119,25.4,12,1
4,Broncos,Bears,Broncos,388,1468,3.8,8,6,0,36,88,22.7,6,469,2331,5.0,15,17,5,72,119,25.4,12,0
14,Broncos,Chargers,Broncos,467,1924,4.1,18,11,1,75,110,23.6,8,469,2331,5.0,15,17,5,72,119,25.4,12,0
10,Broncos,Bills,Broncos,409,1880,4.6,14,13,2,83,96,23.5,4,469,2331,5.0,15,17,5,72,119,25.4,12,0
15,Broncos,Lions,Lions,408,1509,3.7,15,5,0,37,91,22.3,4,469,2331,5.0,15,17,5,72,119,25.4,12,1
13,Broncos,Texans,Texans,468,1643,3.5,19,5,1,49,110,23.5,5,469,2331,5.0,15,17,5,72,119,25.4,12,1
3,Broncos,Dolphins,Dolphins,433,1650,3.8,15,6,2,55,109,25.2,5,469,2331,5.0,15,17,5,72,119,25.4,12,1
18,Broncos,Raiders,Raiders,479,2015,4.2,15,10,1,51,117,24.4,6,469,2331,5.0,15,17,5,72,119,25.4,12,1
7,Chargers,Chiefs,Chiefs,432,1925,4.5,10,7,4,63,107,24.8,7,467,1924,4.1,18,11,1,75,110,23.6,8,1
3,Chargers,Vikings,Chargers,446,1678,3.8,14,2,1,43,104,23.3,7,467,1924,4.1,18,11,1,75,110,23.6,8,0
17,Chargers,Broncos,Broncos,469,2331,5.0,15,17,5,72,119,25.4,12,467,1924,4.1,18,11,1,75,110,23.6,8,1
