Week,Away Team,Home Team,Winning Team,Att_home,Rush Yds_home,YPC_home,TD_home,20_home,40_home,Lng_home,Rush 1st_home,Rush 1st%_home,Rush FUM_home,Att_away,Rush Yds_away,YPC_away,TD_away,20_away,40_away,Lng_away,Rush 1st_away,Rush 1st%_away,Rush FUM_away,Home_Win
1,Lions,Chiefs,Lions,417,1784,4.3,9,10,1,48,107,25.7,2,500,2311,4.6,27,15,3,75,124,24.8,7,0
16,Lions,Vikings,Lions,393,1553,4.0,7,5,0,31,79,20.1,9,500,2311,4.6,27,15,3,75,124,24.8,7,0
13,Lions,Saints,Lions,480,1742,3.6,13,4,0,29,112,23.3,6,500,2311,4.6,27,15,3,75,124,24.8,7,0
7,Lions,Ravens,Ravens,541,2661,4.9,26,21,4,60,144,26.6,7,500,2311,4.6,27,15,3,75,124,24.8,7,1
14,Lions,Bears,Bears,534,2399,4.5,16,13,0,39,137,25.7,5,500,2311,4.6,27,15,3,75,124,24.8,7,1
10,Lions,Chargers,Lions,431,1642,3.8,11,9,3,55,89,20.6,6,500,2311,4.6,27,15,3,75,124,24.8,7,0
6,Lions,Buccaneers,Lions,439,1509,3.4,8,5,0,38,79,18.0,4,500,2311,4.6,27,15,3,75,124,24.8,7,0
17,Lions,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,500,2311,4.6,27,15,3,75,124,24.8,7,1
4,Lions,Packers,Lions,441,1905,4.3,10,13,1,40,101,22.9,6,500,2311,4.6,27,15,3,75,124,24.8,7,0
3,Bears,Chiefs,Chiefs,417,1784,4.3,9,10,1,48,107,25.7,2,534,2399,4.5,16,13,0,39,137,25.7,5,1
15,Bears,Browns,Browns,518,2017,3.9,15,9,3,69,121,23.4,9,534,2399,4.5,16,13,0,39,137,25.7,5,1
12,Bears,Vikings,Bears,393,1553,4.0,7,5,0,31,79,20.1,9,534,2399,4.5,16,13,0,39,137,25.7,5,0
9,Bears,Saints,Saints,480,1742,3.6,13,4,0,29,112,23.3,6,534,2399,4.5,16,13,0,39,137,25.7,5,1
5,Bears,Commanders,Bears,359,1592,4.4,14,8,0,29,99,27.6,6,534,2399,4.5,16,13,0,39,137,25.7,5,0
8,Bears,Chargers,Chargers,431,1642,3.8,11,9,3,55,89,20.6,6,534,2399,4.5,16,13,0,39,137,25.7,5,1
11,Bears,Lions,Lions,500,2311,4.6,27,15,3,75,124,24.8,7,534,2399,4.5,16,13,0,39,137,25.7,5,0
2,Bears,Buccaneers,Buccaneers,439,1509,3.4,8,5,0,38,79,18.0,4,534,2399,4.5,16,13,0,39,137,25.7,5,1
18,Bears,Packers,Packers,441,1905,4.3,10,13,1,40,101,22.9,6,534,2399,4.5,16,13,0,39,137,25.7,5,1
6,Broncos,Chiefs,Chiefs,417,1784,4.3,9,10,1,48,107,25.7,2,451,1810,4.0,8,9,0,38,116,25.7,5,1
4,Broncos,Bears,Broncos,534,2399,4.5,16,13,0,39,137,25.7,5,451,1810,4.0,8,9,0,38,116,25.7,5,0
14,Broncos,Chargers,Broncos,431,1642,3.8,11,9,3,55,89,20.6,6,451,1810,4.0,8,9,0,38,116,25.7,5,0
10,Broncos,Bills,Broncos,512,2212,4.3,22,9,1,42,158,30.9,9,451,1810,4.0,8,9,0,38,116,25.7,5,0
15,Broncos,Lions,Lions,500,2311,4.6,27,15,3,75,124,24.8,7,451,1810,4.0,8,9,0,38,116,25.7,5,1
13,Broncos,Texans,Texans,444,1647,3.7,10,4,0,24,84,18.9,5,451,1810,4.0,8,9,0,38,116,25.7,5,1
3,Broncos,Dolphins,Dolphins,456,2308,5.1,27,17,8,76,113,24.8,13,451,1810,4.0,8,9,0,38,116,25.7,5,1
18,Broncos,Raiders,Raiders,413,1542,3.7,11,7,3,63,83,20.1,5,451,1810,4.0,8,9,0,38,116,25.7,5,1
7,Chargers,Chiefs,Chiefs,417,1784,4.3,9,10,1,48,107,25.7,2,431,1642,3.8,11,9,3,55,89,20.6,6,1
3,Chargers,Vikings,Chargers,393,1553,4.0,7,5,0,31,79,20.1,9,431,1642,3.8,11,9,3,55,89,20.6,6,0
17,Chargers,Broncos,Broncos,451,1810,4.0,8,9,0,38,116,25.7,5,431,1642,3.8,11,9,3,55,89,20.6,6,1
9,Chargers,Jets,Chargers,388,1647,4.2,7,9,4,83,77,19.8,11,431,1642,3.8,11,9,3,55,89,20.6,6,0
2,Chargers,Titans,Titans,444,1846,4.2,16,10,2,69,103,23.2,6,431,1642,3.8,11,9,3,55,89,20.6,6,1
13,Chargers,Patriots,Chargers,415,1627,3.9,9,3,1,64,93,22.4,3,431,1642,3.8,11,9,3,55,89,20.6,6,0
11,Chargers,Packers,Packers,441,1905,4.3,10,13,1,40,101,22.9,6,431,1642,3.8,11,9,3,55,89,20.6,6,1
15,Chargers,Raiders,Raiders,413,1542,3.7,11,7,3,63,83,20.1,5,431,1642,3.8,11,9,3,55,89,20.6,6,1
9,Dolphins,Chiefs,Chiefs,417,1784,4.3,9,10,1,48,107,25.7,2,456,2308,5.1,27,17,8,76,113,24.8,13,1
13,Dolphins,Commanders,Dolphins,359,1592,4.4,14,8,0,29,99,27.6,6,456,2308,5.1,27,17,8,76,113,24.8,13,0
17,Dolphins,Ravens,Ravens,541,2661,4.9,26,21,4,60,144,26.6,7,456,2308,5.1,27,17,8,76,113,24.8,13,1
7,Dolphins,Eagles,Eagles,510,2190,4.3,22,11,1,43,149,29.2,9,456,2308,5.1,27,17,8,76,113,24.8,13,1
1,Dolphins,Chargers,Dolphins,431,1642,3.8,11,9,3,55,89,20.6,6,456,2308,5.1,27,17,8,76,113,24.8,13,0
12,Dolphins,Jets,Dolphins,388,1647,4.2,7,9,4,83,77,19.8,11,456,2308,5.1,27,17,8,76,113,24.8,13,0
4,Dolphins,Bills,Bills,512,2212,4.3,22,9,1,42,158,30.9,9,456,2308,5.1,27,17,8,76,113,24.8,13,1
2,Dolphins,Patriots,Dolphins,415,1627,3.9,9,3,1,64,93,22.4,3,456,2308,5.1,27,17,8,76,113,24.8,13,0
11,Eagles,Chiefs,Eagles,417,1784,4.3,9,10,1,48,107,25.7,2,510,2190,4.3,22,11,1,43,149,29.2,9,0
8,Eagles,Commanders,Eagles,359,1592,4.4,14,8,0,29,99,27.6,6,510,2190,4.3,22,11,1,43,149,29.2,9,0
15,Eagles,Seahawks,Seahawks,382,1580,4.1,11,13,1,45,93,24.4,2,510,2190,4.3,22,11,1,43,149,29.2,9,1
18,Eagles,Giants,Giants,454,1874,4.1,10,12,0,36,97,21.4,8,510,2190,4.3,22,11,1,43,149,29.2,9,1
6,Eagles,Jets,Jets,388,1647,4.2,7,9,4,83,77,19.8,11,510,2190,4.3,22,11,1,43,149,29.2,9,1
3,Eagles,Buccaneers,Eagles,439,1509,3.4,8,5,0,38,79,18.0,4,510,2190,4.3,22,11,1,43,149,29.2,9,0
5,Eagles,Rams,Eagles,477,2045,4.3,18,11,1,56,110,23.1,2,510,2190,4.3,22,11,1,43,149,29.2,9,0
14,Eagles,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,510,2190,4.3,22,11,1,43,149,29.2,9,1
14,Bills,Chiefs,Bills,417,1784,4.3,9,10,1,48,107,25.7,2,512,2212,4.3,22,9,1,42,158,30.9,9,0
3,Bills,Commanders,Bills,359,1592,4.4,14,8,0,29,99,27.6,6,512,2212,4.3,22,9,1,42,158,30.9,9,0
12,Bills,Eagles,Eagles,510,2190,4.3,22,11,1,43,149,29.2,9,512,2212,4.3,22,9,1,42,158,30.9,9,1
