Week,Away Team,Home Team,Winning Team,FR TD_home,SFTY_home,INT TD_home,FR TD_away,SFTY_away,INT TD_away,Home_Win
1,Lions,Chiefs,Lions,2,0,0,0,1,1,0
16,Lions,Vikings,Lions,2,0,0,0,1,1,0
13,Lions,Saints,Lions,1,0,1,0,1,1,0
7,Lions,Ravens,Ravens,0,1,1,0,1,1,1
14,Lions,Bears,Bears,0,0,2,0,1,1,1
10,Lions,Chargers,Lions,0,0,0,0,1,1,0
6,Lions,Buccaneers,Lions,0,1,1,0,1,1,0
17,Lions,Cowboys,Cowboys,1,1,5,0,1,1,1
4,Lions,Packers,Lions,1,0,1,0,1,1,0
3,Bears,Chiefs,Chiefs,2,0,0,0,0,2,1
15,Bears,Browns,Browns,1,0,2,0,0,2,1
12,Bears,Vikings,Bears,2,0,0,0,0,2,0
9,Bears,Saints,Saints,1,0,1,0,0,2,1
5,Bears,Commanders,Bears,0,0,0,0,0,2,0
8,Bears,Chargers,Chargers,0,0,0,0,0,2,1
11,Bears,Lions,Lions,0,1,1,0,0,2,0
2,Bears,Buccaneers,Buccaneers,0,1,1,0,0,2,1
18,Bears,Packers,Packers,1,0,1,0,0,2,1
6,Broncos,Chiefs,Chiefs,2,0,0,1,1,0,1
4,Broncos,Bears,Broncos,0,0,2,1,1,0,0
14,Broncos,Chargers,Broncos,0,0,0,1,1,0,0
10,Broncos,Bills,Broncos,0,0,2,1,1,0,0
15,Broncos,Lions,Lions,0,1,1,1,1,0,1
13,Broncos,Texans,Texans,1,0,0,1,1,0,1
3,Broncos,Dolphins,Dolphins,0,0,4,1,1,0,1
18,Broncos,Raiders,Raiders,2,1,3,1,1,0,1
7,Chargers,Chiefs,Chiefs,2,0,0,0,0,0,1
3,Chargers,Vikings,Chargers,2,0,0,0,0,0,0
17,Chargers,Broncos,Broncos,1,1,0,0,0,0,1
9,Chargers,Jets,Chargers,1,3,2,0,0,0,0
2,Chargers,Titans,Titans,0,0,1,0,0,0,1
13,Chargers,Patriots,Chargers,1,1,0,0,0,0,0
11,Chargers,Packers,Packers,1,0,1,0,0,0,1
15,Chargers,Raiders,Raiders,2,1,3,0,0,0,1
9,Dolphins,Chiefs,Chiefs,2,0,0,0,0,4,1
13,Dolphins,Commanders,Dolphins,0,0,0,0,0,4,0
17,Dolphins,Ravens,Ravens,0,1,1,0,0,4,1
7,Dolphins,Eagles,Eagles,1,1,2,0,0,4,1
1,Dolphins,Chargers,Dolphins,0,0,0,0,0,4,0
12,Dolphins,Jets,Dolphins,1,3,2,0,0,4,0
4,Dolphins,Bills,Bills,0,0,2,0,0,4,1
2,Dolphins,Patriots,Dolphins,1,1,0,0,0,4,0
11,Eagles,Chiefs,Eagles,2,0,0,1,1,2,0
8,Eagles,Commanders,Eagles,0,0,0,1,1,2,0
15,Eagles,Seahawks,Seahawks,0,0,3,1,1,2,1
18,Eagles,Giants,Giants,0,0,3,1,1,2,1
6,Eagles,Jets,Jets,1,3,2,1,1,2,1
3,Eagles,Buccaneers,Eagles,0,1,1,1,1,2,0
5,Eagles,Rams,Eagles,0,2,0,1,1,2,0
14,Eagles,Cowboys,Cowboys,1,1,5,1,1,2,1
14,Bills,Chiefs,Bills,2,0,0,0,0,2,0
3,Bills,Commanders,Bills,0,0,0,0,0,2,0
12,Bills,Eagles,Eagles,1,1,2,0,0,2,1
16,Bills,Chargers,Bills,0,0,0,0,0,2,0
