Week,Away Team,Home Team,Winning Team,Rsh TD_home,Rec TD_home,Tot TD_home,2-PT_home,Rsh TD_away,Rec TD_away,Tot TD_away,2-PT_away,Home_Win
1,Lions,Chiefs,Lions,9,28,39,0,27,30,58,3,0
16,Lions,Vikings,Lions,7,30,39,1,27,30,58,3,0
13,Lions,Saints,Lions,13,28,44,4,27,30,58,3,0
7,Lions,Ravens,Ravens,26,27,55,2,27,30,58,3,1
14,Lions,Bears,Bears,16,19,37,1,27,30,58,3,1
10,Lions,Chargers,Lions,11,24,36,1,27,30,58,3,0
6,Lions,Buccaneers,Lions,8,28,37,2,27,30,58,3,0
17,Lions,Cowboys,Cowboys,14,36,57,4,27,30,58,3,1
4,Lions,Packers,Lions,10,32,44,2,27,30,58,3,0
3,Bears,Chiefs,Chiefs,9,28,39,0,16,19,37,1,1
15,Bears,Browns,Browns,15,24,42,6,16,19,37,1,1
12,Bears,Vikings,Bears,7,30,39,1,16,19,37,1,0
9,Bears,Saints,Saints,13,28,44,4,16,19,37,1,1
5,Bears,Commanders,Bears,14,24,39,3,16,19,37,1,0
8,Bears,Chargers,Chargers,11,24,36,1,16,19,37,1,1
11,Bears,Lions,Lions,27,30,58,3,16,19,37,1,0
2,Bears,Buccaneers,Buccaneers,8,28,37,2,16,19,37,1,1
18,Bears,Packers,Packers,10,32,44,2,16,19,37,1,1
6,Broncos,Chiefs,Chiefs,9,28,39,0,8,28,38,4,1
4,Broncos,Bears,Broncos,16,19,37,1,8,28,38,4,0
14,Broncos,Chargers,Broncos,11,24,36,1,8,28,38,4,0
10,Broncos,Bills,Broncos,22,29,54,3,8,28,38,4,0
15,Broncos,Lions,Lions,27,30,58,3,8,28,38,4,1
13,Broncos,Texans,Texans,10,27,40,2,8,28,38,4,1
3,Broncos,Dolphins,Dolphins,27,30,61,0,8,28,38,4,1
18,Broncos,Raiders,Raiders,11,20,36,2,8,28,38,4,1
7,Chargers,Chiefs,Chiefs,9,28,39,0,11,24,36,1,1
3,Chargers,Vikings,Chargers,7,30,39,1,11,24,36,1,0
17,Chargers,Broncos,Broncos,8,28,38,4,11,24,36,1,1
9,Chargers,Jets,Chargers,7,11,22,3,11,24,36,1,0
2,Chargers,Titans,Titans,16,14,31,1,11,24,36,1,1
13,Chargers,Patriots,Chargers,9,16,27,0,11,24,36,1,0
11,Chargers,Packers,Packers,10,32,44,2,11,24,36,1,1
15,Chargers,Raiders,Raiders,11,20,36,2,11,24,36,1,1
9,Dolphins,Chiefs,Chiefs,9,28,39,0,27,30,61,0,1
13,Dolphins,Commanders,Dolphins,14,24,39,3,27,30,61,0,0
17,Dolphins,Ravens,Ravens,26,27,55,2,27,30,61,0,1
7,Dolphins,Eagles,Eagles,22,24,49,1,27,30,61,0,1
1,Dolphins,Chargers,Dolphins,11,24,36,1,27,30,61,0,0
12,Dolphins,Jets,Dolphins,7,11,22,3,27,30,61,0,0
4,Dolphins,Bills,Bills,22,29,54,3,27,30,61,0,1
2,Dolphins,Patriots,Dolphins,9,16,27,0,27,30,61,0,0
11,Eagles,Chiefs,Eagles,9,28,39,0,22,24,49,1,0
8,Eagles,Commanders,Eagles,14,24,39,3,22,24,49,1,0
15,Eagles,Seahawks,Seahawks,11,23,37,2,22,24,49,1,1
18,Eagles,Giants,Giants,10,15,29,1,22,24,49,1,1
6,Eagles,Jets,Jets,7,11,22,3,22,24,49,1,1
3,Eagles,Buccaneers,Eagles,8,28,37,2,22,24,49,1,0
5,Eagles,Rams,Eagles,18,26,44,4,22,24,49,1,0
14,Eagles,Cowboys,Cowboys,14,36,57,4,22,24,49,1,1
14,Bills,Chiefs,Bills,9,28,39,0,22,29,54,3,0
3,Bills,Commanders,Bills,14,24,39,3,22,29,54,3,0
12,Bills,Eagles,Eagles,22,24,49,1,22,29,54,3,1
16,Bills,Chargers,Bills,11,24,36,1,22,29,54,3,0
1,Bills,Jets,Jets,7,11,22,3,22,29,54,3,1
9,Bills,Bengals,Bengals,12,27,41,1,22,29,54,3,1
7,Bills,Patriots,Patriots,9,16,27,0,22,29,54,3,1
18,Bills,Dolphins,Bills,27,30,61,0,22,29,54,3,0
16,Raiders,Chiefs,Raiders,9,28,39,0,11,20,36,2,0
17,Raiders,Colts,Colts,19,18,42,4,11,20,36,2,1
7,Raiders,Bears,Bears,16,19,37,1,11,20,36,2,1
1,Raiders,Broncos,Raiders,8,28,38,4,11,20,36,2,0
4,Raiders,Chargers,Chargers,11,24,36,1,11,20,36,2,1
2,Raiders,Bills,Bills,22,29,54,3,11,20,36,2,1
8,Raiders,Lions,Lions,27,30,58,3,11,20,36,2,1
11,Raiders,Dolphins,Dolphins,27,30,61,0,11,20,36,2,1
17,Bengals,Chiefs,Chiefs,9,28,39,0,12,27,41,1,1
1,Bengals,Browns,Browns,15,24,42,6,12,27,41,1,1
16,Bengals,Steelers,Steelers,16,13,31,1,12,27,41,1,1
11,Bengals,Ravens,Ravens,26,27,55,2,12,27,41,1,1
4,Bengals,Titans,Titans,16,14,31,1,12,27,41,1,1
13,Bengals,Jaguars,Bengals,17,22,41,3,12,27,41,1,0
5,Bengals,Cardinals,Bengals,17,18,36,4,12,27,41,1,0
8,Bengals,49ers,Bengals,27,33,61,0,12,27,41,1,0
1,Panthers,Falcons,Falcons,14,17,32,2,7,13,23,3,1
14,Panthers,Saints,Saints,13,28,44,4,7,13,23,3,1
