Week,Away Team,Home Team,Winning Team,FGM_home,FG %_home,XPM_home,XP Pct_home,KRet TD_home,PRet T_home,FGM_away,FG %_away,XPM_away,XP Pct_away,KRet TD_away,PRet T_away,Home_Win
1,Lions,Chiefs,Lions,33,94.3,38,100.0,0,0,19,90.5,48,92.3,0,0,0
16,Lions,Vikings,Lions,24,80.0,36,94.7,0,0,19,90.5,48,92.3,0,0,0
13,Lions,Saints,Lions,30,81.1,40,100.0,0,1,19,90.5,48,92.3,0,0,0
7,Lions,Ravens,Ravens,32,86.5,51,98.1,0,1,19,90.5,48,92.3,0,0,1
14,Lions,Bears,Bears,35,92.1,31,93.9,0,0,19,90.5,48,92.3,0,0,1
10,Lions,Chargers,Lions,31,93.9,35,100.0,0,1,19,90.5,48,92.3,0,0,0
6,Lions,Buccaneers,Lions,29,93.6,33,100.0,0,0,19,90.5,48,92.3,0,0,0
17,Lions,Cowboys,Cowboys,36,94.7,49,94.2,0,0,19,90.5,48,92.3,0,0,1
4,Lions,Packers,Lions,27,81.8,34,87.2,0,0,19,90.5,48,92.3,0,0,0
3,Bears,Chiefs,Chiefs,33,94.3,38,100.0,0,0,35,92.1,31,93.9,0,0,1
15,Bears,Browns,Browns,34,91.9,30,90.9,0,0,35,92.1,31,93.9,0,0,1
12,Bears,Vikings,Bears,24,80.0,36,94.7,0,0,35,92.1,31,93.9,0,0,0
9,Bears,Saints,Saints,30,81.1,40,100.0,0,1,35,92.1,31,93.9,0,0,1
5,Bears,Commanders,Bears,19,79.2,32,91.4,0,0,35,92.1,31,93.9,0,0,0
8,Bears,Chargers,Chargers,31,93.9,35,100.0,0,1,35,92.1,31,93.9,0,0,1
11,Bears,Lions,Lions,19,90.5,48,92.3,0,0,35,92.1,31,93.9,0,0,0
2,Bears,Buccaneers,Buccaneers,29,93.6,33,100.0,0,0,35,92.1,31,93.9,0,0,1
18,Bears,Packers,Packers,27,81.8,34,87.2,0,0,35,92.1,31,93.9,0,0,1
6,Broncos,Chiefs,Chiefs,33,94.3,38,100.0,0,0,30,88.2,29,93.6,1,0,1
4,Broncos,Bears,Broncos,35,92.1,31,93.9,0,0,30,88.2,29,93.6,1,0,0
14,Broncos,Chargers,Broncos,31,93.9,35,100.0,0,1,30,88.2,29,93.6,1,0,0
10,Broncos,Bills,Broncos,24,82.8,49,98.0,0,1,30,88.2,29,93.6,1,0,0
15,Broncos,Lions,Lions,19,90.5,48,92.3,0,0,30,88.2,29,93.6,1,0,1
13,Broncos,Texans,Texans,34,89.5,31,93.9,2,0,30,88.2,29,93.6,1,0,1
3,Broncos,Dolphins,Dolphins,24,85.7,58,98.3,0,0,30,88.2,29,93.6,1,0,1
18,Broncos,Raiders,Raiders,26,86.7,32,100.0,0,0,30,88.2,29,93.6,1,0,1
7,Chargers,Chiefs,Chiefs,33,94.3,38,100.0,0,0,31,93.9,35,100.0,0,1,1
3,Chargers,Vikings,Chargers,24,80.0,36,94.7,0,0,31,93.9,35,100.0,0,1,0
17,Chargers,Broncos,Broncos,30,88.2,29,93.6,1,0,31,93.9,35,100.0,0,1,1
9,Chargers,Jets,Chargers,36,92.3,16,94.1,0,1,31,93.9,35,100.0,0,1,0
2,Chargers,Titans,Titans,29,96.7,28,93.3,0,0,31,93.9,35,100.0,0,1,1
13,Chargers,Patriots,Chargers,16,64.0,24,96.0,1,0,31,93.9,35,100.0,0,1,0
11,Chargers,Packers,Packers,27,81.8,34,87.2,0,0,31,93.9,35,100.0,0,1,1
15,Chargers,Raiders,Raiders,26,86.7,32,100.0,0,0,31,93.9,35,100.0,0,1,1
9,Dolphins,Chiefs,Chiefs,33,94.3,38,100.0,0,0,24,85.7,58,98.3,0,0,1
13,Dolphins,Commanders,Dolphins,19,79.2,32,91.4,0,0,24,85.7,58,98.3,0,0,0
17,Dolphins,Ravens,Ravens,32,86.5,51,98.1,0,1,24,85.7,58,98.3,0,0,1
7,Dolphins,Eagles,Eagles,30,93.8,45,97.8,0,0,24,85.7,58,98.3,0,0,1
1,Dolphins,Chargers,Dolphins,31,93.9,35,100.0,0,1,24,85.7,58,98.3,0,0,0
12,Dolphins,Jets,Dolphins,36,92.3,16,94.1,0,1,24,85.7,58,98.3,0,0,0
4,Dolphins,Bills,Bills,24,82.8,49,98.0,0,1,24,85.7,58,98.3,0,0,1
2,Dolphins,Patriots,Dolphins,16,64.0,24,96.0,1,0,24,85.7,58,98.3,0,0,0
11,Eagles,Chiefs,Eagles,33,94.3,38,100.0,0,0,30,93.8,45,97.8,0,0,0
8,Eagles,Commanders,Eagles,19,79.2,32,91.4,0,0,30,93.8,45,97.8,0,0,0
15,Eagles,Seahawks,Seahawks,35,83.3,33,100.0,0,0,30,93.8,45,97.8,0,0,1
18,Eagles,Giants,Giants,22,71.0,24,96.0,0,1,30,93.8,45,97.8,0,0,1
6,Eagles,Jets,Jets,36,92.3,16,94.1,0,1,30,93.8,45,97.8,0,0,1
3,Eagles,Buccaneers,Eagles,29,93.6,33,100.0,0,0,30,93.8,45,97.8,0,0,0
5,Eagles,Rams,Eagles,32,74.4,32,86.5,0,0,30,93.8,45,97.8,0,0,0
14,Eagles,Cowboys,Cowboys,36,94.7,49,94.2,0,0,30,93.8,45,97.8,0,0,1
14,Bills,Chiefs,Bills,33,94.3,38,100.0,0,0,24,82.8,49,98.0,0,1,0
3,Bills,Commanders,Bills,19,79.2,32,91.4,0,0,24,82.8,49,98.0,0,1,0
