Week,Away Team,Home Team,Winning Team,Sck_home,Comb_home,Asst_home,Solo_home,Sck_away,Comb_away,Asst_away,Solo_away,Home_Win
1,Lions,Chiefs,Lions,28,1056,342,664,31,1154,410,674,0
16,Lions,Vikings,Lions,47,1046,329,682,31,1154,410,674,0
13,Lions,Saints,Lions,35,1152,428,679,31,1154,410,674,0
7,Lions,Ravens,Ravens,41,1077,339,704,31,1154,410,674,1
14,Lions,Bears,Bears,50,1116,372,693,31,1154,410,674,1
10,Lions,Chargers,Lions,43,1087,340,677,31,1154,410,674,0
6,Lions,Buccaneers,Lions,40,1055,383,629,31,1154,410,674,0
17,Lions,Cowboys,Cowboys,40,1107,342,721,31,1154,410,674,1
4,Lions,Packers,Lions,30,1060,403,614,31,1154,410,674,0
3,Bears,Chiefs,Chiefs,28,1056,342,664,50,1116,372,693,1
15,Bears,Browns,Browns,45,1166,430,666,50,1116,372,693,1
12,Bears,Vikings,Bears,47,1046,329,682,50,1116,372,693,0
9,Bears,Saints,Saints,35,1152,428,679,50,1116,372,693,1
5,Bears,Commanders,Bears,65,1039,388,611,50,1116,372,693,0
8,Bears,Chargers,Chargers,43,1087,340,677,50,1116,372,693,1
11,Bears,Lions,Lions,31,1154,410,674,50,1116,372,693,0
2,Bears,Buccaneers,Buccaneers,40,1055,383,629,50,1116,372,693,1
18,Bears,Packers,Packers,30,1060,403,614,50,1116,372,693,1
6,Broncos,Chiefs,Chiefs,28,1056,342,664,52,1043,368,619,1
4,Broncos,Bears,Broncos,50,1116,372,693,52,1043,368,619,0
14,Broncos,Chargers,Broncos,43,1087,340,677,52,1043,368,619,0
10,Broncos,Bills,Broncos,24,1124,385,683,52,1043,368,619,0
15,Broncos,Lions,Lions,31,1154,410,674,52,1043,368,619,1
13,Broncos,Texans,Texans,47,1080,383,638,52,1043,368,619,1
3,Broncos,Dolphins,Dolphins,31,1046,336,654,52,1043,368,619,1
18,Broncos,Raiders,Raiders,40,994,356,590,52,1043,368,619,1
7,Chargers,Chiefs,Chiefs,28,1056,342,664,43,1087,340,677,1
3,Chargers,Vikings,Chargers,47,1046,329,682,43,1087,340,677,0
17,Chargers,Broncos,Broncos,52,1043,368,619,43,1087,340,677,1
9,Chargers,Jets,Chargers,64,1005,330,650,43,1087,340,677,0
2,Chargers,Titans,Titans,64,1031,387,587,43,1087,340,677,1
13,Chargers,Patriots,Chargers,47,1006,339,635,43,1087,340,677,0
11,Chargers,Packers,Packers,30,1060,403,614,43,1087,340,677,1
15,Chargers,Raiders,Raiders,40,994,356,590,43,1087,340,677,1
9,Dolphins,Chiefs,Chiefs,28,1056,342,664,31,1046,336,654,1
13,Dolphins,Commanders,Dolphins,65,1039,388,611,31,1046,336,654,0
17,Dolphins,Ravens,Ravens,41,1077,339,704,31,1046,336,654,1
7,Dolphins,Eagles,Eagles,39,1090,343,705,31,1046,336,654,1
1,Dolphins,Chargers,Dolphins,43,1087,340,677,31,1046,336,654,0
12,Dolphins,Jets,Dolphins,64,1005,330,650,31,1046,336,654,0
4,Dolphins,Bills,Bills,24,1124,385,683,31,1046,336,654,1
2,Dolphins,Patriots,Dolphins,47,1006,339,635,31,1046,336,654,0
11,Eagles,Chiefs,Eagles,28,1056,342,664,39,1090,343,705,0
8,Eagles,Commanders,Eagles,65,1039,388,611,39,1090,343,705,0
15,Eagles,Seahawks,Seahawks,38,959,313,605,39,1090,343,705,1
18,Eagles,Giants,Giants,85,1067,333,701,39,1090,343,705,1
6,Eagles,Jets,Jets,64,1005,330,650,39,1090,343,705,1
3,Eagles,Buccaneers,Eagles,40,1055,383,629,39,1090,343,705,0
5,Eagles,Rams,Eagles,34,1092,402,600,39,1090,343,705,0
14,Eagles,Cowboys,Cowboys,40,1107,342,721,39,1090,343,705,1
14,Bills,Chiefs,Bills,28,1056,342,664,24,1124,385,683,0
3,Bills,Commanders,Bills,65,1039,388,611,24,1124,385,683,0
12,Bills,Eagles,Eagles,39,1090,343,705,24,1124,385,683,1
16,Bills,Chargers,Bills,43,1087,340,677,24,1124,385,683,0
1,Bills,Jets,Jets,64,1005,330,650,24,1124,385,683,1
