Week,Away Team,Home Team,Winning Team,offense_pa_Att_home,offense_pa_Cmp_home,offense_pa_Cmp %_home,offense_pa_Yds/Att_home,offense_pa_Pass Yds_home,offense_pa_TD_home,offense_pa_INT_home,offense_pa_Rate_home,offense_pa_1st_home,offense_pa_1st%_home,offense_pa_20_home,offense_pa_40_home,offense_pa_Lng_home,offense_pa_Sck_home,offense_pa_SckY_home,offense_ru_Att_home,offense_ru_Rush Yds_home,offense_ru_YPC_home,offense_ru_TD_home,offense_ru_20_home,offense_ru_40_home,offense_ru_Lng_home,offense_ru_Rush 1st_home,offense_ru_Rush 1st%_home,offense_ru_Rush FUM_home,offense_re_Rec_home,offense_re_Yds_home,offense_re_Yds/Rec_home,offense_re_TD_home,offense_re_20_home,offense_re_40_home,offense_re_Lng_home,offense_re_Rec 1st_home,offense_re_Rec 1st%_home,offense_re_Rec FUM_home,offense_do_3rd Att_home,offense_do_3rd Md_home,offense_do_4th Att_home,offense_do_4th Md_home,offense_do_Rec 1st_home,offense_do_Rec 1st%_home,offense_do_Rush 1st_home,offense_do_Rush 1st%_home,offense_do_Scrm Plys_home,offense_sc_Rsh TD_home,offense_sc_Rec TD_home,offense_sc_Tot TD_home,offense_sc_2-PT_home,offense_pa_Att_away,offense_pa_Cmp_away,offense_pa_Cmp %_away,offense_pa_Yds/Att_away,offense_pa_Pass Yds_away,offense_pa_TD_away,offense_pa_INT_away,offense_pa_Rate_away,offense_pa_1st_away,offense_pa_1st%_away,offense_pa_20_away,offense_pa_40_away,offense_pa_Lng_away,offense_pa_Sck_away,offense_pa_SckY_away,offense_ru_Att_away,offense_ru_Rush Yds_away,offense_ru_YPC_away,offense_ru_TD_away,offense_ru_20_away,offense_ru_40_away,offense_ru_Lng_away,offense_ru_Rush 1st_away,offense_ru_Rush 1st%_away,offense_ru_Rush FUM_away,offense_re_Rec_away,offense_re_Yds_away,offense_re_Yds/Rec_away,offense_re_TD_away,offense_re_20_away,offense_re_40_away,offense_re_Lng_away,offense_re_Rec 1st_away,offense_re_Rec 1st%_away,offense_re_Rec FUM_away,offense_do_3rd Att_away,offense_do_3rd Md_away,offense_do_4th Att_away,offense_do_4th Md_away,offense_do_Rec 1st_away,offense_do_Rec 1st%_away,offense_do_Rush 1st_away,offense_do_Rush 1st%_away,offense_do_Scrm Plys_away,offense_sc_Rsh TD_away,offense_sc_Rec TD_away,offense_sc_Tot TD_away,offense_sc_2-PT_away,Home_Win
1,Lions,Chiefs,Lions,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,417,1784,4.3,9,10,1,48,107,25.7,2,421,4383,10.4,28,52,8,67,216,51.3,7,220,96,20,10,216,51.3,107,25.7,1080,9,28,39,0,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,0
16,Lions,Vikings,Lions,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62,47,341,393,1553,4.0,7,5,0,31,79,20.1,9,424,4700,11.1,30,74,7,62,220,51.9,4,223,85,29,17,220,51.9,79,20.1,1071,7,30,39,1,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,0
13,Lions,Saints,Lions,606,406,67.0,7.0,4225,28,11,94.8,199,32.8,52,11,58,35,235,480,1742,3.6,13,4,0,29,112,23.3,6,406,4225,10.4,28,52,11,58,199,49.0,0,235,91,19,9,199,49.0,112,23.3,1121,13,28,44,4,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,0
7,Lions,Ravens,Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,541,2661,4.9,26,21,4,60,144,26.6,7,328,3881,11.8,27,52,9,80,180,54.9,6,207,87,14,8,180,54.9,144,26.6,1076,26,27,55,2,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,1
14,Lions,Bears,Bears,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,534,2399,4.5,16,13,0,39,137,25.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,238,98,26,13,169,52.6,137,25.7,1097,16,19,37,1,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,1
10,Lions,Chargers,Lions,632,409,64.7,6.8,4312,24,8,91.8,204,32.3,55,7,79,43,355,431,1642,3.8,11,9,3,55,89,20.6,6,409,4312,10.5,24,55,7,79,204,49.9,8,237,91,32,15,204,49.9,89,20.6,1106,11,24,36,1,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,0
6,Lions,Buccaneers,Lions,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,439,1509,3.4,8,5,0,38,79,18.0,4,364,4044,11.1,28,60,12,75,188,51.6,7,236,98,18,12,188,51.6,79,18.0,1047,8,28,37,2,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,0
17,Lions,Cowboys,Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,468,1920,4.1,14,12,1,46,113,24.2,4,428,4660,10.9,36,64,7,92,229,53.5,6,230,111,23,13,229,53.5,113,24.2,1122,14,36,57,4,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,1
4,Lions,Packers,Lions,581,374,64.4,7.2,4210,32,11,96.4,211,36.3,56,7,77,30,242,441,1905,4.3,10,13,1,40,101,22.9,6,374,4210,11.3,32,56,7,77,211,56.4,5,223,105,24,12,211,56.4,101,22.9,1052,10,32,44,2,606,408,67.3,7.6,4606,30,12,98.1,228,37.6,70,9,70,31,205,500,2311,4.6,27,15,3,75,124,24.8,7,408,4606,11.3,30,70,9,70,228,55.9,4,224,93,40,21,228,55.9,124,24.8,1137,27,30,58,3,0
3,Bears,Chiefs,Chiefs,635,421,66.3,6.9,4383,28,17,89.6,216,34.0,52,8,67,28,195,417,1784,4.3,9,10,1,48,107,25.7,2,421,4383,10.4,28,52,8,67,216,51.3,7,220,96,20,10,216,51.3,107,25.7,1080,9,28,39,0,513,321,62.6,6.7,3421,19,15,82.2,169,32.9,48,5,58,50,325,534,2399,4.5,16,13,0,39,137,25.7,5,321,3421,10.7,19,48,5,58,169,52.6,4,238,98,26,13,169,52.6,137,25.7,1097,16,19,37,1,1
