Team,defense_pa_Att,defense_pa_Cmp,defense_pa_Cmp %,defense_pa_Yds/Att,defense_pa_Yds,defense_pa_TD,defense_pa_INT,defense_pa_Rate,defense_pa_1st,defense_pa_1st%,defense_pa_20,defense_pa_40,defense_pa_Lng,defense_pa_Sck,defense_ru_Att,defense_ru_Rush Yds,defense_ru_YPC,defense_ru_TD,defense_ru_20,defense_ru_40,defense_ru_Lng,defense_ru_Rush 1st,defense_ru_Rush 1st%,defense_ru_Rush FUM,defense_re_Rec,defense_re_Yds,defense_re_Yds/Rec,defense_re_TD,defense_re_20,defense_re_40,defense_re_Lng,defense_re_Rec 1st,defense_re_Rec 1st%,defense_re_Rec FUM,defense_re_PDef,defense_in_INT,defense_in_INT TD,defense_in_INT Yds,defense_in_Lng,defense_fu_FF,defense_fu_FR,defense_fu_FR TD,defense_fu_Rec FUM,defense_fu_Rush FUM,defense_do_3rd Att,defense_do_3rd Md,defense_do_4th Att,defense_do_4th Md,defense_do_Rec 1st,defense_do_Rec 1st%,defense_do_Rush 1st,defense_do_Rush 1st%,defense_do_Scrm Plys,defense_ta_Sck,defense_ta_Comb,defense_ta_Asst,defense_ta_Solo,defense_sc_FR TD,defense_sc_SFTY,defense_sc_INT TD
Commanders,598,396,66.2,7.7,4627,39,8,105.7,218,36.4,60,12,78,39,480,2155,4.5,15,14,1,64,121,25.2,8,396,4627,11.7,39,60,12,78,218,55.0,3,98,8,0,85,52,10,10,0,3,8,226,94,21,13,218,55.0,121,25.2,1117,65,1039,388,611,0,0,0
Chiefs,556,340,61.2,6.0,3352,19,8,83.6,169,30.4,39,3,60,57,432,1925,4.5,10,7,4,63,107,24.8,7,340,3352,9.9,19,39,3,60,169,49.7,6,71,8,0,69,24,15,9,2,6,7,224,83,28,13,169,49.7,107,24.8,1045,28,1056,342,664,2,0,0
Chargers,598,389,65.0,7.7,4580,26,9,96.4,203,34.0,61,14,70,48,467,1924,4.1,18,11,1,75,110,23.6,8,389,4580,11.8,26,61,14,70,203,52.2,3,86,9,0,31,9,15,12,0,3,8,232,89,32,19,203,52.2,110,23.6,1113,43,1087,340,677,0,0,0
Vikings,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70,43,446,1678,3.8,14,2,1,43,104,23.3,7,426,4288,10.1,23,51,7,70,208,48.8,9,91,11,0,112,43,22,11,2,9,7,232,96,25,18,208,48.8,104,23.3,1095,47,1046,329,682,2,0,0
Browns,535,307,57.4,5.9,3149,23,18,74.7,136,25.4,39,7,75,49,420,1793,4.3,15,18,3,74,87,20.7,5,307,3149,10.3,23,39,7,75,136,44.3,2,95,18,2,135,34,14,10,1,2,5,230,67,15,6,136,44.3,87,20.7,1004,45,1166,430,666,1,0,2
Jaguars,617,404,65.5,7.1,4355,27,16,89.8,198,32.1,47,13,76,40,421,1752,4.2,15,13,1,69,99,23.5,4,404,4355,10.8,27,47,13,76,198,49.0,5,73,16,2,264,61,12,11,0,5,4,230,84,41,21,198,49.0,99,23.5,1078,41,1096,351,711,0,0,2
Bengals,555,364,65.6,8.1,4480,23,17,91.4,201,36.2,65,11,86,44,456,2145,4.7,17,17,1,41,127,27.8,6,364,4480,12.3,23,65,11,86,201,55.2,4,80,17,1,152,30,11,9,0,4,6,213,87,15,7,201,55.2,127,27.8,1055,50,1050,333,653,0,0,1
Cowboys,509,308,60.5,6.8,3481,21,17,80.8,166,32.6,47,7,73,46,459,1910,4.2,14,9,2,45,108,23.5,8,308,3481,11.3,21,47,7,73,166,53.9,5,82,17,5,249,63,14,8,1,5,8,211,79,37,19,166,53.9,108,23.5,1014,40,1107,342,721,1,1,5
Lions,588,371,63.1,7.8,4562,28,16,91.5,209,35.5,69,9,92,41,408,1509,3.7,15,5,0,37,91,22.3,4,371,4562,12.3,28,69,9,92,209,56.3,3,57,16,1,209,50,13,6,0,3,4,202,75,26,15,209,56.3,91,22.3,1037,31,1154,410,674,0,1,1
Saints,558,333,59.7,6.8,3768,22,18,79.6,167,29.9,48,9,71,34,462,2038,4.4,10,11,3,48,100,21.6,4,333,3768,11.3,22,48,9,71,167,50.2,4,68,18,1,185,74,8,11,1,4,4,226,78,26,11,167,50.2,100,21.6,1054,35,1152,428,679,1,0,1
Jets,522,313,60.0,6.1,3182,19,17,76.0,150,28.7,39,7,81,48,517,2108,4.1,14,10,2,48,111,21.5,13,313,3182,10.2,19,39,7,81,150,47.9,5,89,17,2,212,51,14,10,1,5,13,242,90,16,7,150,47.9,111,21.5,1087,64,1005,330,650,1,3,2
Texans,565,382,67.6,7.7,4334,17,14,90.1,185,32.7,60,15,75,46,468,1643,3.5,19,5,1,49,110,23.5,5,382,4334,11.4,17,60,15,75,185,48.4,6,73,14,0,63,33,15,10,1,6,5,227,81,29,16,185,48.4,110,23.5,1079,47,1080,383,638,1,0,0
